species,tau_h,kappa,y_th,fwhm,peak6,p2m,A_L,published
L. cornutus,0.5,10,0.25,14,0.3554153018813241,1.9215615895574178,0.3932637490620243,False
L. cornutus,0.5,10,0.3,9,0.342331974370394,1.9646610559650672,0.4031045949246649,False
L. cornutus,0.5,10,0.4,10,0.34856837120581863,2.067336726901455,0.40963474025927343,False
L. cornutus,0.5,10,0.5,10,0.4822672120208058,2.2501677047393898,0.40657785050721756,False
L. cornutus,0.5,10,0.6,8,0.6375193067527727,2.835059124851074,0.39833901826095497,False
L. cornutus,0.5,30,0.25,10,0.5613548354996513,2.9814516923274588,0.6123843018296895,False
L. cornutus,0.5,30,0.3,8,0.4713701351122495,2.8049619964872994,0.6351872949364834,False
L. cornutus,0.5,30,0.4,6,0.4510328221541415,2.891367072906998,0.654287780703296,False
L. cornutus,0.5,30,0.5,7,0.42839672018255787,2.838901597870067,0.6013653428564623,False
L. cornutus,0.5,30,0.6,8,0.6527797310916746,2.9164757403440302,0.5236794075560465,False
L. cornutus,0.5,60,0.25,8,0.6265470670206947,3.443833355715895,0.7584232724228422,False
L. cornutus,0.5,60,0.3,8,0.5283636621378881,2.966466965600571,0.770922201388857,False
L. cornutus,0.5,60,0.4,6,0.5027273070372812,3.049766819882662,0.7904347154422237,False
L. cornutus,0.5,60,0.5,5,0.48369981974865733,3.309901375289883,0.7560979305152902,False
L. cornutus,0.5,60,0.6,7,0.6788748025992866,3.066796464023099,0.6285663299301436,False
L. cornutus,1.0,10,0.25,8,0.37678520872851873,2.206209455960025,0.49731874174952245,False
L. cornutus,1.0,10,0.3,6,0.35838498844006905,2.1628303858347215,0.5223713360238245,False
L. cornutus,1.0,10,0.4,6,0.3980582313900927,2.327509301727729,0.5335434678841067,False
L. cornutus,1.0,10,0.5,10,0.5116612276434789,2.4900473878177993,0.5044669133432322,False
L. cornutus,1.0,10,0.6,7,0.6490607320018092,2.9613633777181136,0.439171492126352,False
L. cornutus,1.0,30,0.25,9,0.5629023477311123,3.038843673539376,0.7073559620255921,False
L. cornutus,1.0,30,0.3,6,0.4684468361993554,3.256999107027066,0.7418053082084408,False
L. cornutus,1.0,30,0.4,5,0.42736161354634816,3.434698231530038,0.7584710738066452,False
L. cornutus,1.0,30,0.5,5,0.45795073208722004,3.227428724011263,0.6881243156442737,False
L. cornutus,1.0,30,0.6,7,0.6610956634536905,3.0283094555021224,0.56969953124566,False
L. cornutus,1.0,60,0.25,9,0.6054610830100383,3.4169278614747145,0.8190431123369014,False
L. cornutus,1.0,60,0.3,6,0.48683278172942357,3.499852100772013,0.8367989187930196,False
L. cornutus,1.0,60,0.4,4,0.4384164300442797,3.7167390471549213,0.8521611600775021,False
L. cornutus,1.0,60,0.5,5,0.4534938782026513,3.7531576338039963,0.8109751688016444,False
L. cornutus,1.0,60,0.6,7,0.6819137853480859,3.1781172653082668,0.6578544339596942,False
L. cornutus,1.5,10,0.25,4,0.40372259292467233,2.34190350620215,0.5699702028998778,False
L. cornutus,1.5,10,0.3,3,0.3972353349576297,2.3171551528657757,0.6075221070612714,False
L. cornutus,1.5,10,0.4,4,0.4422964655819491,2.4488650911836984,0.6250570900897233,False
L. cornutus,1.5,10,0.5,9,0.5410537075099356,2.626412729755308,0.5809553722634391,False
L. cornutus,1.5,10,0.6,7,0.6611449688879141,3.0833839824837277,0.4774325463790623,False
L. cornutus,1.5,30,0.25,9,0.5593252567085181,3.1849048616392306,0.7740597688977424,False
L. cornutus,1.5,30,0.3,3,0.4981974173438778,3.3350383199250033,0.8167188129285112,False
L. cornutus,1.5,30,0.4,3,0.4865336030611453,3.5550073726175184,0.8283026857804051,False
L. cornutus,1.5,30,0.5,4,0.5088908451104579,3.344299009958383,0.7445904509393588,False
L. cornutus,1.5,30,0.6,7,0.6696449865097259,3.142821628614307,0.6007159276894394,False
L. cornutus,1.5,60,0.25,9,0.5887298481233108,3.2615394322449847,0.8556609186890657,False
L. cornutus,1.5,60,0.3,4,0.5132241557795256,3.560452083153526,0.8782366783272179,False
L. cornutus,1.5,60,0.4,3,0.4978935800305789,3.8275832251860598,0.8909515862837547,False
L. cornutus,1.5,60,0.5,3,0.5149560710659822,3.8218674315965067,0.8412165136860577,False
L. cornutus,1.5,60,0.6,7,0.6854771420723411,3.242045547374726,0.6760525243708682,False
L. cornutus,2.0,10,0.25,4,0.423502267456074,2.3835847248824606,0.6179800329182055,False
L. cornutus,2.0,10,0.3,3,0.4271343312740313,2.4638332907949145,0.6656391882065723,False
L. cornutus,2.0,10,0.4,5,0.4753161728672979,2.5563060173457104,0.6922195856146771,False
L. cornutus,2.0,10,0.5,8,0.5642392174580694,2.7499617720121354,0.6401075662744223,False
L. cornutus,2.0,10,0.6,7,0.671680134972206,3.179105948066474,0.5086680564921893,False
L. cornutus,2.0,30,0.25,4,0.5571582380310018,3.281301739920394,0.8179823397614927,False
L. cornutus,2.0,30,0.3,4,0.5224807467959188,3.2549838064481116,0.8699044302792067,False
L. cornutus,2.0,30,0.4,4,0.5260728552298809,3.4990132890971672,0.8772282025393325,False
L. cornutus,2.0,30,0.5,4,0.5476018662341374,3.342008700349594,0.785535338017944,True
L. cornutus,2.0,30,0.6,7,0.6768527990728764,3.2199624847962873,0.623000426595995,False
