check,value,kind
observed | L. cornutus | % significant rhythm in LD,90.625,percent
observed | L. cornutus | % in 22.8-25.2 h given a rhythm,100.0,percent
observed | L. cornutus | % entrained in LD,90.625,percent
observed | L. cornutus | % rhythmic in DD,88.23529411764706,percent
observed | L. cornutus | mean free-running period (h),25.645644180666668,hours
observed | L. cornutus | SD of free-running period (h),1.785995261124403,hours
observed | A. pennsylvanica | % significant rhythm in LD,87.8048780487805,percent
observed | A. pennsylvanica | % in 22.8-25.2 h given a rhythm,72.22222222222221,percent
observed | A. pennsylvanica | % entrained in LD,63.41463414634146,percent
observed | A. pennsylvanica | % rhythmic in DD,95.65217391304348,percent
observed | A. pennsylvanica | mean free-running period (h),22.58311702453674,hours
observed | A. pennsylvanica | SD of free-running period (h),4.231661200896263,hours
observed | S. grossa | % significant rhythm in LD,70.96774193548387,percent
observed | S. grossa | % in 22.8-25.2 h given a rhythm,68.18181818181817,percent
observed | S. grossa | % entrained in LD,48.38709677419355,percent
observed | S. grossa | % rhythmic in DD,68.57142857142857,percent
observed | S. grossa | mean free-running period (h),23.652115884166665,hours
observed | S. grossa | SD of free-running period (h),3.609044666218639,hours
calibration | L. cornutus | k_bar,0.1596261237705778,param
calibration | L. cornutus | sigma_scale,0.0615822697116274,param
calibration | L. cornutus | sigma_asym,0.3055249108598246,param
calibration | L. cornutus | fitted % rhythmic in DD,88.23811181967201,percent
calibration | A. pennsylvanica | k_bar,0.1864435643921398,param
calibration | A. pennsylvanica | sigma_scale,0.1801929513142672,param
calibration | A. pennsylvanica | sigma_asym,0.2184304082801287,param
calibration | A. pennsylvanica | fitted % rhythmic in DD,95.65424007971109,percent
calibration | S. grossa | k_bar,0.173149710138644,param
calibration | S. grossa | sigma_scale,0.1442802337341764,param
calibration | S. grossa | sigma_asym,0.4450211565016972,param
calibration | S. grossa | fitted % rhythmic in DD,68.56236174315603,percent
track1 fitted | L. cornutus | % rhythmic in DD,88.2,percent
track1 fitted | L. cornutus | % entrained (spider criterion),64.0,percent
track1 fitted | L. cornutus | % phase-locked (exact),34.2,percent
track1 fitted | L. cornutus | mean light/dark activity ratio,0.34142086507799996,ratio
track1 fitted | A. pennsylvanica | % rhythmic in DD,95.8,percent
track1 fitted | A. pennsylvanica | % entrained (spider criterion),21.4,percent
track1 fitted | A. pennsylvanica | % phase-locked (exact),5.2,percent
track1 fitted | A. pennsylvanica | mean light/dark activity ratio,0.9546578188400001,ratio
track1 fitted | S. grossa | % rhythmic in DD,69.19999999999999,percent
track1 fitted | S. grossa | % entrained (spider criterion),60.4,percent
track1 fitted | S. grossa | % phase-locked (exact),55.2,percent
track1 fitted | S. grossa | mean light/dark activity ratio,0.68024027578,ratio
track1 fitted | S. grossa | % entrained at simulation beta 0.0,16.2,percent
track1 fitted | S. grossa | % entrained at simulation beta 0.75,60.4,percent
track1 fitted | S. grossa | % entrained at simulation beta 2.0,71.8,percent
track1 fitted | S. grossa | beta sweep is monotonic,1.0,param
supplement | L. cornutus | % entrained (spider criterion) at manuscript beta 0.063,64.0,percent
supplement | L. cornutus | % phase-locked at manuscript beta 0.063,34.2,percent
supplement | L. cornutus | manuscript beta needed for the observed %,0.2737903225806452,param
supplement | A. pennsylvanica | % entrained (spider criterion) at manuscript beta 0.042,21.4,percent
supplement | A. pennsylvanica | % phase-locked at manuscript beta 0.042,5.2,percent
supplement | A. pennsylvanica | manuscript beta needed for the observed %,,param
supplement | S. grossa | % entrained (spider criterion) at manuscript beta 0.525,60.4,percent
supplement | S. grossa | % phase-locked at manuscript beta 0.525,55.2,percent
supplement | S. grossa | manuscript beta needed for the observed %,0.26265976871576385,param
