Comprehensive_Index,Spider_ID,Condition,Date,File_Prefix,Period_hours,Period_Amplitude,Period_p_value,Period_Quality,Period_Analysis_Success,Period_Analysis_Notes,Mean_Activity,Total_Crossings,Valid_Minutes
Ag _sag8f_DD,sag8f,DD,unknown,Ag ,16.073949086640745,189.0370656808243,1.9235558979188588e-77,Highly Significant,True,Success,0.7099883177570093,4862.0,6848
Ag _sag17f_DD,sag17f,DD,unknown,Ag ,25.938676453178644,38.235210665999396,2.6883064290550646e-12,Highly Significant,True,Success,0.40625,2782.0,6848
Ag _sag27f_DD,sag27f,DD,unknown,Ag ,20.379871639847455,14.940892219728779,0.0217403965104528,Significant,True,Success,0.40011682242990654,2740.0,6848
Ag _sag33f_DD,sag33f,DD,unknown,Ag ,23.77688551275095,262.10012048924455,4.2090407641430495e-109,Highly Significant,True,Success,0.6321553738317757,4329.0,6848
Ag _sag46f_DD,sag46f,DD,unknown,Ag ,17.925550192260495,23.31132351020934,6.3590476211155915e-06,Highly Significant,True,Success,0.2486857476635514,1703.0,6848
Ag _sag60f_DD,sag60f,DD,unknown,Ag ,23.77688551275095,24.677204446412357,1.6694096202736114e-06,Highly Significant,True,Success,0.2830023364485981,1938.0,6848
Ag _sag62f_DD,sag62f,DD,unknown,Ag ,26.136705236788742,52.98307102263077,1.2456631430814667e-18,Highly Significant,True,Success,0.3120619158878505,2137.0,6848
Ag _sag69f_DD,sag69f,DD,unknown,Ag ,25.175686544869585,66.37769472114434,2.1238880007628157e-24,Highly Significant,True,Success,0.3782126168224299,2590.0,6848
Ag _sag72f_DD,sag72f,DD,unknown,Ag ,25.938676453178644,49.117030292602706,5.727279641749042e-17,Highly Significant,True,Success,0.2916179906542056,1997.0,6848
Ag _sag77f_DD,sag77f,DD,unknown,Ag ,23.943175609223037,120.31387461780166,1.0766940140511476e-47,Highly Significant,True,Success,0.3891647196261682,2665.0,6848
Ag _sag75f_DD,sag75f,DD,unknown,Ag ,16.94933085789433,90.50899696213098,8.210593730424636e-35,Highly Significant,True,Success,0.5516939252336449,3778.0,6848
Ag _sag1m_DD,sag1m,DD,unknown,Ag ,19.127367961588828,49.99721696406902,2.396321077952877e-17,Highly Significant,True,Success,0.417786214953271,2861.0,6848
Ag _sag3m_DD,sag3m,DD,unknown,Ag ,25.175686544869585,334.33600857924057,2.0201951770904444e-140,Highly Significant,True,Success,0.5957943925233645,4080.0,6848
Ag _sag5m_DD,sag5m,DD,unknown,Ag ,18.607558386411892,117.87677461825157,1.219179548659129e-46,Highly Significant,True,Success,0.6287967289719626,4306.0,6848
Ag _sag6m_DD,sag6m,DD,unknown,Ag ,22.97891976927111,150.59553103940786,8.505188776403033e-61,Highly Significant,True,Success,0.5010221962616822,3431.0,6848
Ag _sag7m_DD,sag7m,DD,unknown,Ag ,26.74935905261873,140.77702399113517,1.5106620044097877e-56,Highly Significant,True,Success,0.6441296728971962,4411.0,6848
Ag _sag10m_DD,sag10m,DD,unknown,Ag ,26.74935905261873,107.09399999031326,5.599325949799919e-42,Highly Significant,True,Success,0.4044976635514019,2770.0,6848
Ag _sag13m_DD,sag13m,DD,unknown,Ag ,32.0,50.871086705989676,1.0087667593920093e-17,Highly Significant,True,Success,0.5791471962616822,3966.0,6848
Ag _sag24m_DD,sag24m,DD,unknown,Ag ,23.77688551275095,193.37300113543589,2.5465744896003297e-79,Highly Significant,True,Success,0.5740362149532711,3931.0,6848
Ag _sag26m_DD,sag26m,DD,unknown,Ag ,17.03366244266501,36.045694922526565,2.331140521641314e-11,Highly Significant,True,Success,0.38317757009345793,2624.0,6848
Ag _sag28m_DD,sag28m,DD,unknown,Ag ,16.381607476635512,174.18270294318503,5.217971285413156e-71,Highly Significant,True,Success,0.8433119158878505,5775.0,6848
Ag _sag29m_DD,sag29m,DD,unknown,Ag ,22.23277524099442,144.247407192554,4.756495871875568e-58,Highly Significant,True,Success,0.36010514018691586,2466.0,6848
Ag _slight_DD,slight,DD,unknown,Ag ,,,,Not Rhythmic,False,Invalid period,0.00014602803738317756,1.0,6848
Ag _sag8f_LD,sag8f,LD,unknown,Ag ,23.72689108910891,139.87218575534175,5.087638632971448e-56,Highly Significant,True,Success,0.8035676137577441,7523.0,9362
Ag _sag17f_LD,sag17f,LD,unknown,Ag ,23.969912779066973,125.4813861607099,8.566140022881112e-50,Highly Significant,True,Success,0.32322153386028624,3026.0,9362
Ag _sag27f_LD,sag27f,LD,unknown,Ag ,24.993909052982893,50.29550218394619,2.438234970361396e-17,Highly Significant,True,Success,0.32514419995727406,3044.0,9362
Ag _sag33f_LD,sag33f,LD,unknown,Ag ,24.34392523364486,217.40890884431488,1.3443673551219915e-89,Highly Significant,True,Success,0.4446699423200171,4163.0,9362
Ag _sag46f_LD,sag46f,LD,unknown,Ag ,23.72689108910891,33.5484566916745,3.7350573428659654e-10,Highly Significant,True,Success,0.21672719504379406,2029.0,9362
Ag _sag60f_LD,sag60f,LD,unknown,Ag ,24.09330008847422,63.51493594810777,4.9730347558150545e-23,Highly Significant,True,Success,0.20049134800256355,1877.0,9362
Ag _sag62f_LD,sag62f,LD,unknown,Ag ,23.847782819839182,66.34462900064665,3.0003113155309362e-24,Highly Significant,True,Success,0.22367015594958342,2094.0,9362
