Comprehensive_Index,Spider_ID,Condition,Date,File_Prefix,Period_hours,Period_Amplitude,Period_p_value,Period_Quality,Period_Analysis_Success,Period_Analysis_Notes,Mean_Activity,Total_Crossings,Valid_Minutes
StA_sga3_DD,SgA3,DD,1182024,StA,20.59776198,30.54864608,8.93E-09,Highly Significant,TRUE,Success,0.091625278,1070,11678
StA_sga4_DD,SgA4,DD,1182024,StA,26.01211277,28.33096552,7.90E-08,Highly Significant,TRUE,Success,0.084946052,992,11678
StA_sga7_DD,SgA7,DD,1182024,StA,25.66902521,3.335440518,1,Marginally Significant,TRUE,Success,0.018924473,221,11678
StA_sga9_DD,SgA9,DD,1182024,StA,22.67791467,17.87334984,0.002181191,Very Significant,TRUE,Success,0.075012845,876,11678
StA_sga10_DD,SgA10,DD,1182024,StA,25.22541011,6.591163368,1,Marginally Significant,TRUE,Success,0.055660216,650,11678
StA_sga11_DD,SgA11,DD,1182024,StA,24.79686774,93.70005848,5.86E-36,Highly Significant,TRUE,Success,0.269138551,3143,11678
StA_sga12_DD,SgA12,DD,1182024,StA,24.79686774,854.9387923,0,Highly Significant,TRUE,Success,0.614146258,7172,11678
StA_sga13_DD,SgA13,DD,1182024,StA,16.10828987,65.35298406,1.00E-23,Highly Significant,TRUE,Success,0.117999657,1378,11678
StA_sga14_DD,SgA14,DD,1182024,StA,22.41670166,31.15243763,4.93E-09,Highly Significant,TRUE,Success,0.102157904,1193,11678
StA_sga15_DD,SgA15,DD,1182024,StA,25.55666507,94.1534547,3.73E-36,Highly Significant,TRUE,Success,0.096591882,1128,11678
StA_sga16_DD,SgA16,DD,1182024,StA,26.01211277,14.30314193,0.067038074,Marginally Significant,TRUE,Success,0.057115945,667,11678
StA_sga17_DD,SgA17,DD,1182024,StA,20.31113769,49.07500445,1.02E-16,Highly Significant,TRUE,Success,0.241479705,2820,11678
StA_sga18_DD,SgA18,DD,1182024,StA,16.33361018,70.34258687,7.07E-26,Highly Significant,TRUE,Success,0.182222983,2128,11678
StA_sga19_DD,SgA19,DD,1182024,StA,25.00930326,114.9291664,3.91E-45,Highly Significant,TRUE,Success,0.363247131,4242,11678
StA_sga21_DD,SgA21,DD,1182024,StA,24.69199762,178.4925286,1.21E-72,Highly Significant,TRUE,Success,0.203031341,2371,11678
StA_sga22_DD,SgA22,DD,1182024,StA,23.78661914,41.57275611,1.70E-13,Highly Significant,TRUE,Success,0.10575441,1235,11678
StA_sga25_DD,SgA25,DD,1182024,StA,24.58801079,538.8889989,6.38E-229,Highly Significant,TRUE,Success,0.353998972,4134,11678
StA_sga3_LD,SgA3,LD,4032024,StA,23.71989973,12.7769097,0.210925436,Marginally Significant,TRUE,Success,0.085296684,782,9168
StA_sga4_LD,SgA4,LD,4032024,StA,24.61146069,24.42212642,2.87E-06,Highly Significant,TRUE,Success,0.110383944,1012,9168
