species,condition,hour,mean_activity
L. cornutus,DD,0,0.0458095276138278
L. cornutus,DD,1,0.040501856421049816
L. cornutus,DD,2,0.04898284855240098
L. cornutus,DD,3,0.05912266260995679
L. cornutus,DD,4,0.08467255758960023
L. cornutus,DD,5,0.0819207362180001
L. cornutus,DD,6,0.12221784572974696
L. cornutus,DD,7,0.12573063290323588
L. cornutus,DD,8,0.19061797028709718
L. cornutus,DD,9,0.35412065006660215
L. cornutus,DD,10,0.5715912164366077
L. cornutus,DD,11,0.8879913696205313
L. cornutus,DD,12,1.3057291319906714
L. cornutus,DD,13,0.6826650115520763
L. cornutus,DD,14,0.5009273705533099
L. cornutus,DD,15,0.37660652853723514
L. cornutus,DD,16,0.4725348261909458
L. cornutus,DD,17,0.2810869147092756
L. cornutus,DD,18,0.3384032850846662
L. cornutus,DD,19,0.1800559705110548
L. cornutus,DD,20,0.15084096897290683
L. cornutus,DD,21,0.11393248790648733
L. cornutus,DD,22,0.029426110943000593
L. cornutus,DD,23,0.036001477681080335
L. cornutus,LD,0,0.17189894636015324
L. cornutus,LD,1,0.25590277777777776
L. cornutus,LD,2,0.1888050766283525
L. cornutus,LD,3,0.1130507662835249
L. cornutus,LD,4,0.11621168582375478
L. cornutus,LD,5,0.09250478927203062
L. cornutus,LD,6,0.10494492337164747
L. cornutus,LD,7,0.07359913793103447
L. cornutus,LD,8,0.07176724137931031
L. cornutus,LD,9,0.04875478927203061
L. cornutus,LD,10,0.0351053639846743
L. cornutus,LD,11,0.047473659003831395
L. cornutus,LD,12,0.4381944444444445
L. cornutus,LD,13,0.5490301724137931
L. cornutus,LD,14,0.36963601532567053
L. cornutus,LD,15,0.2638170498084291
L. cornutus,LD,16,0.2137332375478927
L. cornutus,LD,17,0.2393079501915708
L. cornutus,LD,18,0.22874760536398467
L. cornutus,LD,19,0.20855185383630792
L. cornutus,LD,20,0.1607854406130268
L. cornutus,LD,21,0.15012452107279692
L. cornutus,LD,22,0.07123563218390803
L. cornutus,LD,23,0.0450862068965517
A. pennsylvanica,DD,0,0.35724382838115676
A. pennsylvanica,DD,1,0.3575226134890466
A. pennsylvanica,DD,2,0.3659178442955081
A. pennsylvanica,DD,3,0.30699511391287254
A. pennsylvanica,DD,4,0.4012795195639755
A. pennsylvanica,DD,5,0.42693621155954325
A. pennsylvanica,DD,6,0.4577761921677567
A. pennsylvanica,DD,7,0.4053653842860754
A. pennsylvanica,DD,8,0.37146799806244224
A. pennsylvanica,DD,9,0.426021200516959
A. pennsylvanica,DD,10,0.4369917140982213
A. pennsylvanica,DD,11,0.5572655237519804
A. pennsylvanica,DD,12,1.4223299307338484
A. pennsylvanica,DD,13,0.7294471604083369
A. pennsylvanica,DD,14,0.5302168842022579
A. pennsylvanica,DD,15,0.754532374630589
