species,condition,animal,fwhm_h,peak6_frac,max_jump,peak_to_mean,vector_r,n_peaks
L. cornutus,DD,Lc7,7,0.72528774407708,0.9094657919400189,3.9702119363882153,0.7655232046525684,4
L. cornutus,DD,Lc8,3,0.8935312543254811,0.44318181818181823,7.4407958851249605,0.8921794937580562,2
L. cornutus,DD,Lc63,7,0.5322100542517534,0.7439292114695341,3.297988562202216,0.5662226156922606,4
L. cornutus,DD,Lc65,6,0.5754145955136658,0.4289009126850382,3.2630491069376544,0.5728194491424536,5
L. cornutus,DD,Lc69,6,0.7494772450779079,0.6517699115044251,3.8176647995460593,0.6087382993704457,3
L. cornutus,DD,Lc72,4,0.7341844961687549,0.7198448208974525,5.447394376223255,0.5694514071073875,4
L. cornutus,DD,Lc73,1,0.5968595328567052,0.7661295426332058,6.085200324719213,0.6166600956232544,5
L. cornutus,DD,Lc74,6,0.8511561676319364,0.6727276580414097,4.752679885836154,0.8263773758271994,2
L. cornutus,DD,Lc75,2,0.7841703955388561,0.5584168099395662,5.517793678793682,0.7292615463569072,1
L. cornutus,DD,Lc76,6,0.7704059971933727,0.3454892471285914,4.471550568715952,0.8253718626611393,2
L. cornutus,DD,Lc78,3,0.714591650103231,0.8904028577470353,5.148266862286676,0.6672221229392923,3
L. cornutus,DD,Lc79,6,0.5623749225772006,0.7331855136733186,3.139143384663969,0.48988799117767645,7
L. cornutus,DD,Lc80,7,0.4621913903216414,0.748226482710417,2.467060542904575,0.3370735943426296,6
L. cornutus,DD,Lc81,5,0.7026378237852636,0.7243975903614457,5.0607378192773105,0.7468590842305571,3
L. cornutus,DD,Lc82,4,0.8017574945256156,0.48545376408378327,5.5810781063534725,0.7998031123102749,2
L. cornutus,DD,Lc85,3,0.5029408414144665,0.7646244375216338,4.040426695009655,0.5085475615054477,5
L. cornutus,DD,Lc86,3,0.7911934635580316,0.49213783050413445,6.506408852850023,0.7530282755007589,1
L. cornutus,DD,Lc87,4,0.7212921421515825,0.6504804776043164,4.899324694772613,0.7450069885594248,4
L. cornutus,DD,Lc100,3,0.8161201013129062,0.8878278688524591,6.096218661815785,0.7865056569765326,4
L. cornutus,DD,LcF8,2,0.735580494592709,0.5309278350515464,5.36638696485783,0.5693410263045459,3
L. cornutus,DD,LcF23,1,0.6513036619923054,0.7583905148671989,6.992529201386762,0.6533932106665463,3
L. cornutus,DD,LcF27,2,0.49542947302410895,0.5234682245654034,3.802075918238278,0.42107289582199653,6
L. cornutus,DD,LcF30,8,0.5441459004355969,0.558038822003532,3.0372241754481717,0.6195864708631039,4
L. cornutus,DD,LcF31,4,0.8895093093065559,0.8307349665924276,5.779843120934723,0.8883213901967327,2
L. cornutus,DD,LcF44,5,0.5373025518935335,0.8612153747385751,3.635764948840165,0.587974727340187,4
L. cornutus,DD,LcF45,10,0.5994102283315147,0.7667031376839728,2.7874134625138396,0.67232881358778,4
L. cornutus,DD,LcF48,7,0.5623540041326986,0.8211926233660958,3.769962718322808,0.592344294736215,4
L. cornutus,DD,LcF49,10,0.5795526724768617,0.4115107913669065,2.6059360986962736,0.6407634186011878,2
L. cornutus,DD,LcF52,10,0.573613868709174,0.5832435856826101,2.707672964562564,0.5982340328955841,4
L. cornutus,DD,LcF53,4,0.5743757024182908,0.7100023534949401,4.193787751391374,0.6586224846707189,4
L. cornutus,LD,Lc8,2,0.8262771118442062,0.9627118644067798,11.18554866511851,0.6844865745380674,2
L. cornutus,LD,Lc65,5,0.6320192278014524,0.8306342780026991,3.7723879668471323,0.6497972109672473,4
L. cornutus,LD,Lc74,5,0.8004644386737886,1.0,5.114655893863688,0.7282917564246971,3
L. cornutus,LD,Lc75,5,0.7196461191797737,0.8742857142857144,4.189208178177476,0.715519085630175,3
L. cornutus,LD,Lc76,4,0.7511079516505734,0.9380804953560372,4.487544386277647,0.7105384269030031,4
L. cornutus,LD,Lc78,2,0.7200000000000002,0.9822485207100591,8.640000000000002,0.5198103446981471,2
L. cornutus,LD,Lc81,4,0.6955629570297913,1.0,4.360800602729113,0.7362861561322547,4
L. cornutus,LD,Lc82,3,0.7332348521192258,0.6213668499607227,5.401926983830861,0.756268610807504,3
