species,condition,metric,model_mean,model_sd,spider_mean,spider_sd,n_spiders,z_of_model_mean
L. cornutus,DD,fwhm_h,5.442,1.759781139607602,4.966666666666667,2.5526636977915813,30,0.18621071539684786
L. cornutus,DD,peak6_frac,0.564911471350144,0.05202253827766146,0.6676791726566267,0.12515043421164612,30,-0.8211533739682341
L. cornutus,DD,max_jump,0.3768676081425247,0.07026518080872815,0.6657340258964269,0.15729396601044615,30,-1.8364748825439252
L. cornutus,DD,peak_to_mean,3.0462994639886802,0.3134741730033353,4.522719735653807,1.364980397304148,30,-1.0816421060559356
L. cornutus,DD,n_peaks,1.552,0.49778668440039014,3.566666666666667,1.4546793303071943,30,-1.3849558625688427
L. cornutus,DD,vector_r,,,0.6569507501139621,0.1315805191944064,30,
L. cornutus,LD,fwhm_h,8.442,3.571575044233746,3.689655172413793,1.9658413007423645,29,2.4174610767367484
L. cornutus,LD,peak6_frac,0.5738645353249411,0.15143665165987338,0.6950187307979292,0.10231181823408414,29,-1.1841661849444762
L. cornutus,LD,max_jump,0.3540707862037858,0.06222569402502715,0.8088117584996547,0.16210662507112766,29,-2.805196716027749
L. cornutus,LD,peak_to_mean,2.9311104848243223,1.1735869755129194,5.213061527232421,1.7209257912589284,29,-1.326002000782821
L. cornutus,LD,n_peaks,1.458,0.6790863837784343,3.3793103448275863,0.9416472308615168,29,-2.040371682577744
L. cornutus,LD,vector_r,0.5467216233667394,0.1611090489738602,0.6556280276260376,0.11286987704605363,29,-0.9648845831103525
A. pennsylvanica,DD,fwhm_h,5.094,1.0075685528923333,4.818181818181818,2.461829819586655,22,0.1120378750893887
A. pennsylvanica,DD,peak6_frac,0.39867651517655645,0.01404909016581862,0.4325193325808616,0.05745820882000334,22,-0.5889988236549976
A. pennsylvanica,DD,max_jump,0.35977721158910314,0.06692452213438586,0.7583676536156326,0.13525857875242053,22,-2.946877349318566
A. pennsylvanica,DD,peak_to_mean,1.950988226479791,0.10928188185697513,3.1017717520396504,1.0469716000518356,22,-1.0991544808883869
A. pennsylvanica,DD,n_peaks,1.246,0.4311098600390015,6.409090909090909,1.4362348564112215,22,-3.5948792678602266
A. pennsylvanica,DD,vector_r,,,0.2538015703529576,0.07362469053388693,22,
A. pennsylvanica,LD,fwhm_h,9.86,3.7827262703071933,4.076923076923077,2.6821346263463646,26,2.156147147227542
A. pennsylvanica,LD,peak6_frac,0.30808670132915766,0.0519597091173497,0.4814135016730414,0.08480907676835804,26,-2.043729361861788
A. pennsylvanica,LD,max_jump,0.3754469344592844,0.13047718481147633,0.8438635088621643,0.10722282296917948,26,-4.368627512610103
A. pennsylvanica,LD,peak_to_mean,1.3609183246948542,0.31958739238520245,4.133834120618494,1.6951545346125338,26,-1.6357893863390178
A. pennsylvanica,LD,n_peaks,3.17,1.7421740270941288,5.423076923076923,1.5791916140374331,26,-1.426728018974597
A. pennsylvanica,LD,vector_r,0.10054704571593627,0.07099581216687702,0.34586469499735806,0.1134477195538047,26,-2.1623850196924876
S. grossa,DD,fwhm_h,6.698,2.0521253462870503,3.9583333333333335,2.561914478881262,24,1.0693825610693397
S. grossa,DD,peak6_frac,0.3837841598438968,0.03992301773417723,0.5841396986850654,0.14583603186654384,24,-1.3738411301845912
S. grossa,DD,max_jump,0.29072535939069055,0.09106618443268506,0.8436284068579858,0.12387897162966786,24,-4.463251835187822
S. grossa,DD,peak_to_mean,1.791017392532008,0.2825737684643352,5.03702366564844,1.7678503370492933,24,-1.8361318291990252
S. grossa,DD,n_peaks,1.14,0.34733453983894164,5.041666666666667,1.7315277663950708,24,-2.253308749873348
S. grossa,DD,vector_r,,,0.43758847743880364,0.17644278479094175,24,
S. grossa,LD,fwhm_h,7.64,3.8183188863996826,2.066666666666667,1.2227992865708155,15,4.557848041409179
S. grossa,LD,peak6_frac,0.40767006626026814,0.09197997714500376,0.7248650964790145,0.12958446888250294,15,-2.4477858570100253
S. grossa,LD,max_jump,0.3662808188008774,0.10312723118308306,0.9171485570575242,0.10073807879495171,15,-5.468316895122805
S. grossa,LD,peak_to_mean,2.008170932766163,0.6281334728449094,8.550904415015452,2.516959823680093,15,-2.5994588474134
S. grossa,LD,n_peaks,1.7,0.9611699617605535,2.466666666666667,0.9904304018720251,15,-0.7740742461232818
S. grossa,LD,vector_r,0.22730751506409594,0.1188080205071051,0.5784563139997243,0.16192105109101027,15,-2.1686420423386434
