species,variant,beta,n,pct_rhythmic_DD,pct_entrained_LS,pct_entrained_true,tau_DD_mean,tau_DD_sd,tau_LS_LD_mean,tau_LS_LD_sd,A_DD,A_LD,phase_ZT,vector_r,light_dark,fwhm_LD,peak6_LD,max_jump_LD,edge_sharp_LD,damping_LD,peaks_per_day,tau_LD_sd_entrained
A. pennsylvanica,fitted,0.0,500,95.8,19.400000000000002,0.2,22.488442301587302,4.557580603581313,21.757825734901,4.272036868754882,0.6406967,0.6580749,8.98500262921077,0.09501344923519287,0.9585127,10.086,0.30521459843190474,0.3481520264681239,0.1979809285870902,0.9949771,1.0915955056179776,0.7141936879860477
A. pennsylvanica,fitted,0.03,500,95.8,19.2,1.2,22.488442301587302,4.557580603581313,21.769780462909083,4.246316962320441,0.6406967,0.6560419,8.85659209399198,0.09748920237756031,0.96101344,10.042,0.30557575455702035,0.3572247672104432,0.20234147514676493,0.9964311,1.0955505617977528,0.6088680249540309
A. pennsylvanica,fitted,0.06,500,95.8,21.4,5.0,22.488442301587302,4.557580603581313,21.792027780064906,4.211815013786814,0.6406967,0.6571726,8.79798088505698,0.10054704571593631,0.95465785,9.86,0.3080867013291578,0.3754469344592844,0.20324516589806266,0.99570376,1.0959101123595505,0.4796265368859269
A. pennsylvanica,fitted,0.09,500,95.8,22.8,12.4,22.488442301587302,4.557580603581313,21.772104930649856,4.1936920538161955,0.6406967,0.6586367,9.206500842636732,0.10433299034275603,0.94569427,9.754,0.31082664218099193,0.3801864706256029,0.19742141107400912,1.0045329,1.099865168539326,0.32373365691127143
A. pennsylvanica,fitted,0.12,500,95.8,26.0,17.2,22.488442301587302,4.557580603581313,21.755796743337047,4.147609943275819,0.6406967,0.65793264,9.260042018478766,0.10909859331530104,0.942981,9.626,0.31431895199750465,0.3800605393076666,0.1848132634084375,1.0123417,1.1048988764044942,0.3116080227739892
A. pennsylvanica,fitted,0.2,500,95.8,35.8,22.6,22.488442301587302,4.557580603581313,21.68505740179402,4.038931187015533,0.6406967,0.66554165,9.990063240477918,0.12420121426114734,0.9291831,8.716,0.32698541984225715,0.3968223985200375,0.1742216413398417,1.0032395,1.1034606741573034,0.33515968395811113
A. pennsylvanica,fitted,0.3,500,95.8,39.6,28.199999999999996,22.488442301587302,4.557580603581313,21.475224272956783,3.9515882519512626,0.6406967,0.6849996,10.491872235331291,0.13620399036449862,0.8969384,8.028,0.3381985440156788,0.39752839005529844,0.15575721056719802,1.0153028,1.1034606741573034,0.22908439451838097
A. pennsylvanica,fitted,0.5,500,95.8,46.800000000000004,36.199999999999996,22.488442301587302,4.557580603581313,21.360040728929473,3.878084750855528,0.6406967,0.7231615,11.363972970713096,0.1609167348738956,0.8676387,7.384,0.35774084163371017,0.39603755212168407,0.12329963686250313,1.015393,1.1228764044943822,0.2053062567417006
A. pennsylvanica,fitted,0.75,500,95.8,49.6,42.8,22.488442301587302,4.557580603581313,21.186354221795085,3.8823855189208354,0.6406967,0.76071566,11.632339256589704,0.17901426510238294,0.8381671,6.86,0.37361618443193173,0.4053576062679667,0.10640029206949325,1.0300093,1.1437303370786518,0.14056395829786106
A. pennsylvanica,fitted,1.0,500,95.8,52.0,45.6,22.488442301587302,4.557580603581313,20.981624061769182,3.9911936412254896,0.6406967,0.7786835,11.53835220736226,0.18890071978148118,0.81434846,6.408,0.38362139863529277,0.4226479934375462,0.09850758414511795,1.0041838,1.1699775280898874,0.09894714286269922
