species,beta,pct_entrained,ci_lo,ci_hi,paired_diff_vs_beta0,paired_se,gained,lost
L. cornutus,0.0,54.4,49.919316160597376,58.82836759275403,0.0,0.0,0,0
L. cornutus,0.03,57.4,52.932576735335665,61.7794186767857,3.0,1.5833553069529684,39,24
L. cornutus,0.06,60.4,55.962066897324156,64.71421139671426,6.0,1.701113627936211,52,22
L. cornutus,0.09,64.0,59.619655412833296,68.21370453762961,9.6,1.955332875319853,74,26
L. cornutus,0.12,68.6,64.3306721581126,72.64771013077403,14.2,2.0111712058495796,91,20
L. cornutus,0.2,79.4,75.5858640311923,82.86225970614754,25.0,2.209017772458627,139,14
L. cornutus,0.3,87.8,84.6057903153546,90.53811035435845,33.4,2.1675508190365864,170,3
L. cornutus,0.5,94.0,91.54514462924,95.9155818237223,39.6,2.1893529941665815,198,0
L. cornutus,0.75,95.8,93.6513059467081,97.38164232238529,41.4,2.2230528396454536,208,1
L. cornutus,1.0,97.0,95.1001774291181,98.31140157961268,42.6,2.249578005405644,215,2
L. cornutus,1.5,97.2,95.34666730085158,98.46093993261618,42.8,2.2686148254943808,217,3
L. cornutus,2.0,97.6,95.84523812003137,98.75387609404443,43.2,2.2533697767347,218,2
A. pennsylvanica,0.0,19.4,16.023515532152686,23.14301266931072,0.0,0.0,0,0
A. pennsylvanica,0.03,19.2,15.838297381485155,22.93067813712969,-0.2,0.8726069480422147,9,10
A. pennsylvanica,0.06,21.4,17.88322266500091,25.25891342869292,2.0,1.016891408299111,18,8
A. pennsylvanica,0.09,22.8,19.192652490570943,26.732484979638095,3.4000000000000004,1.0673135980738204,23,6
A. pennsylvanica,0.12,26.0,22.206888188879823,30.079577854314337,6.6000000000000005,1.2791216926505593,38,5
A. pennsylvanica,0.2,35.8,31.592615207191876,40.176411559058906,16.400000000000002,1.705255344980089,84,2
A. pennsylvanica,0.3,39.6,35.28578860328574,44.037933102675844,20.200000000000003,1.7973260031288267,101,0
A. pennsylvanica,0.5,46.8,42.35651987190588,51.28152630977745,27.400000000000002,1.9966103540279474,137,0
A. pennsylvanica,0.75,49.6,45.1310742261146,54.07368127217207,30.2,2.0553269174209183,151,0
A. pennsylvanica,1.0,52.0,47.520157876795125,56.45606411002977,32.6,2.1174151444125284,164,1
A. pennsylvanica,1.5,57.2,52.7311925587705,61.58318282856662,37.8,2.189041755566849,190,1
A. pennsylvanica,2.0,62.8,58.39770022582278,67.04997436050208,43.4,2.2367131625541714,218,1
S. grossa,0.0,16.2,13.078274531378536,19.72763360857256,0.0,0.0,0,0
S. grossa,0.03,16.6,13.444175114700052,20.15678120268819,0.4,1.0206681767617216,14,12
S. grossa,0.06,17.0,13.810755590853367,20.585258258017305,0.8,1.2335977979285233,21,17
S. grossa,0.09,21.4,17.88322266500091,25.25891342869292,5.2,1.1784300551112863,31,5
S. grossa,0.12,24.4,20.696234991895917,28.40953841188916,8.200000000000001,1.3817882172585962,46,5
S. grossa,0.2,37.4,33.14425290170625,41.80568763284753,21.2,1.851479395484545,107,1
S. grossa,0.3,44.4,39.989287787025766,48.87730115600247,28.199999999999996,2.014357284729078,141,0
S. grossa,0.5,55.0,50.5206889511451,59.41985882970053,38.800000000000004,2.1997267092051116,195,1
S. grossa,0.75,60.4,55.962066897324156,64.71421139671426,44.2,2.223197069632112,221,0
S. grossa,1.0,63.4,59.008327386482605,67.63219106274607,47.199999999999996,2.2347949832668093,236,0
S. grossa,1.5,68.8,64.53650731613168,72.8394800568974,52.6,2.2531385369153543,264,1
S. grossa,2.0,71.8,67.63479900764175,75.70520587369643,55.60000000000001,2.242171864362468,279,1
