Comprehensive_Index,Spider_ID,Condition,Date,File_Prefix,Period_hours,Period_Amplitude,Period_p_value,Period_Quality,Period_Analysis_Success,Period_Analysis_Notes,Mean_Activity,Total_Crossings,Valid_Minutes
Ag _Ag8f_DD,Ag8F,DD,unknown,Ag ,16.07394909,189.0370657,1.92E-77,Highly Significant,TRUE,Success,0.709988318,4862,6848
Ag _Ag17f_DD,Ag17F,DD,unknown,Ag ,25.93867645,38.23521067,2.69E-12,Highly Significant,TRUE,Success,0.40625,2782,6848
Ag _Ag27f_DD,Ag27F,DD,unknown,Ag ,20.37987164,14.94089222,0.021740397,Significant,TRUE,Success,0.400116822,2740,6848
Ag _Ag33f_DD,Ag33F,DD,unknown,Ag ,23.77688551,262.1001205,4.21E-109,Highly Significant,TRUE,Success,0.632155374,4329,6848
Ag _Ag46f_DD,Ag46F,DD,unknown,Ag ,17.92555019,23.31132351,6.36E-06,Highly Significant,TRUE,Success,0.248685748,1703,6848
Ag _Ag60f_DD,Ag60F,DD,unknown,Ag ,23.77688551,24.67720445,1.67E-06,Highly Significant,TRUE,Success,0.283002336,1938,6848
Ag _Ag62f_DD,Ag62F,DD,unknown,Ag ,26.13670524,52.98307102,1.25E-18,Highly Significant,TRUE,Success,0.312061916,2137,6848
Ag _Ag69f_DD,Ag69F,DD,unknown,Ag ,25.17568654,66.37769472,2.12E-24,Highly Significant,TRUE,Success,0.378212617,2590,6848
Ag _Ag72f_DD,Ag72F,DD,unknown,Ag ,25.93867645,49.11703029,5.73E-17,Highly Significant,TRUE,Success,0.291617991,1997,6848
Ag _Ag77f_DD,Ag77F,DD,unknown,Ag ,23.94317561,120.3138746,1.08E-47,Highly Significant,TRUE,Success,0.38916472,2665,6848
Ag _Ag75f_DD,Ag75F,DD,unknown,Ag ,16.94933086,90.50899696,8.21E-35,Highly Significant,TRUE,Success,0.551693925,3778,6848
Ag _Ag1m_DD,Ag1M,DD,unknown,Ag ,19.12736796,49.99721696,2.40E-17,Highly Significant,TRUE,Success,0.417786215,2861,6848
Ag _Ag3m_DD,Ag3M,DD,unknown,Ag ,25.17568654,334.3360086,2.02E-140,Highly Significant,TRUE,Success,0.595794393,4080,6848
Ag _Ag5m_DD,Ag5M,DD,unknown,Ag ,18.60755839,117.8767746,1.22E-46,Highly Significant,TRUE,Success,0.628796729,4306,6848
Ag _Ag6m_DD,Ag6M,DD,unknown,Ag ,22.97891977,150.595531,8.51E-61,Highly Significant,TRUE,Success,0.501022196,3431,6848
Ag _Ag7m_DD,Ag7M,DD,unknown,Ag ,26.74935905,140.777024,1.51E-56,Highly Significant,TRUE,Success,0.644129673,4411,6848
Ag _Ag10m_DD,Ag10M,DD,unknown,Ag ,26.74935905,107.094,5.60E-42,Highly Significant,TRUE,Success,0.404497664,2770,6848
Ag _Ag13m_DD,Ag13M,DD,unknown,Ag ,32,50.87108671,1.01E-17,Highly Significant,TRUE,Success,0.579147196,3966,6848
