Comprehensive_Index,Spider_ID,Condition,Date,File_Prefix,Period_hours,Period_Amplitude,Period_p_value,Period_Quality,Period_Analysis_Success,Period_Analysis_Notes,Mean_Activity,Total_Crossings,Valid_Minutes
LC _slcf8_DD,LcF8,DD,1162025,LC ,24.86529529,16.62290711,0.008809553,Very Significant,TRUE,Success,0.060698783,853,14053
LC _slcf23_DD,LcF23,DD,1162025,LC ,25.77757395,41.24669506,2.82E-13,Highly Significant,TRUE,Success,0.084821746,1192,14053
LC _slcf27_DD,LcF27,DD,1162025,LC ,30.3417004,26.36223889,6.57E-07,Highly Significant,TRUE,Success,0.102113428,1435,14053
LC _slcf30_DD,LcF30,DD,1162025,LC ,25.31321774,101.7579027,2.33E-39,Highly Significant,TRUE,Success,0.13932968,1958,14053
LC _slcf31_DD,LcF31,DD,1162025,LC ,25.96812197,201.2640033,1.99E-82,Highly Significant,TRUE,Success,0.134206219,1886,14053
LC _slcf35_DD,LcF35,DD,1162025,LC ,27.27881582,9.06447803,0.999996365,Marginally Significant,TRUE,Success,0.056927346,800,14053
LC _slcf44_DD,LcF44,DD,1162025,LC ,23.22164842,218.0688181,1.04E-89,Highly Significant,TRUE,Success,0.208140611,2925,14053
LC _slcf45_DD,LcF45,DD,1162025,LC ,26.16150803,2220.69248,0,Highly Significant,TRUE,Success,0.590763538,8302,14053
LC _slcf47_DD,LcF47,DD,1162025,LC ,27.4922964,7.76750477,1,Marginally Significant,TRUE,Success,0.080552195,1132,14053
LC _slcf48_DD,LcF48,DD,1162025,LC ,27.81885672,3468.093953,0,Highly Significant,TRUE,Success,0.867928556,12197,14053
LC _slcf49_DD,LcF49,DD,1162025,LC ,26.55705174,1156.052461,0,Highly Significant,TRUE,Success,0.450437629,6330,14053
LC _slcf52_DD,LcF52,DD,1162025,LC ,25.49693808,309.9384618,1.57E-129,Highly Significant,TRUE,Success,0.250551484,3521,14053
LC _slcf53_DD,LcF53,DD,1162025,LC ,26.96473975,42.0389572,1.29E-13,Highly Significant,TRUE,Success,0.083825518,1178,14053
LC _slcf56_DD,LcF56,DD,1162025,LC ,23.22164842,8.17012497,1,Marginally Significant,TRUE,Success,0.060912261,856,14053
LC _slc7_DD,Lc7,DD,unknown,LC ,24.19522632,21.49861752,6.18E-05,Highly Significant,TRUE,Success,0.058001768,656,11310
LC _slc8_DD,Lc8,DD,unknown,LC ,23.78807599,263.7056856,1.40E-109,Highly Significant,TRUE,Success,0.1755084,1985,11310
LC _slc54_DD,Lc54,DD,unknown,LC ,25.62038938,6.98218328,1,Marginally Significant,TRUE,Success,0.058178603,658,11310
LC _slc63_DD,Lc63,DD,unknown,LC ,24.09213767,433.6550335,2.79E-183,Highly Significant,TRUE,Success,0.35066313,3966,11310
LC _slc65_DD,Lc65,DD,unknown,LC ,28.74636587,1294.223757,0,Highly Significant,TRUE,Success,0.598408488,6768,11310
LC _slc69_DD,Lc69,DD,unknown,LC ,24.50985439,58.97631836,5.42E-21,Highly Significant,TRUE,Success,0.123695844,1399,11310
LC _slc72_DD,Lc72,DD,unknown,LC ,23.78807599,89.09789484,5.52E-34,Highly Significant,TRUE,Success,0.158355438,1791,11310
LC _slc73_DD,Lc73,DD,unknown,LC ,25.73700306,500.3139632,3.37E-212,Highly Significant,TRUE,Success,0.331653404,3751,11310
LC _slc74_DD,Lc74,DD,unknown,LC ,24.6165567,284.9368662,8.76E-119,Highly Significant,TRUE,Success,0.190893015,2159,11310
LC _slc75_DD,Lc75,DD,unknown,LC ,25.2768038,2478.674702,0,Highly Significant,TRUE,Success,0.636516357,7199,11310
LC _slc76_DD,Lc76,DD,unknown,LC ,24.09213767,1577.652477,0,Highly Significant,TRUE,Success,0.461184792,5216,11310
LC _slc78_DD,Lc78,DD,unknown,LC ,23.8885735,295.254455,2.95E-123,Highly Significant,TRUE,Success,0.243943413,2759,11310
LC _slc79_DD,Lc79,DD,unknown,LC ,25.73700306,134.6022929,1.17E-53,Highly Significant,TRUE,Success,0.224314766,2537,11310
LC _slc80_DD,Lc80,DD,unknown,LC ,29.65079885,64.04311369,3.56E-23,Highly Significant,TRUE,Success,0.21821397,2468,11310
LC _slc81_DD,Lc81,DD,unknown,LC ,23.98992377,507.5774435,2.38E-215,Highly Significant,TRUE,Success,0.277188329,3135,11310
LC _slc82_DD,Lc82,DD,unknown,LC ,24.50985439,2562.770077,0,Highly Significant,TRUE,Success,0.589478338,6667,11310
LC _slc85_DD,Lc85,DD,unknown,LC ,27.09350902,215.0440123,1.72E-88,Highly Significant,TRUE,Success,0.287002653,3246,11310
LC _slc86_DD,Lc86,DD,unknown,LC ,25.85468315,2360.980565,0,Highly Significant,TRUE,Success,0.596109637,6742,11310
LC _slc87_DD,Lc87,DD,unknown,LC ,27.22395246,176.5096817,8.47E-72,Highly Significant,TRUE,Success,0.170645447,1930,11310
LC _slc100_DD,Lc100,DD,unknown,LC ,24.09213767,319.6905287,7.48E-134,Highly Significant,TRUE,Success,0.212378426,2402,11310
LC _slc6_DD,Lc6,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc10_DD,Lc10,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc11_DD,Lc11,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc13_DD,Lc13,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc14_DD,Lc14,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc15_DD,Lc15,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc90_DD,Lc90,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc92_DD,Lc92,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc93_DD,Lc93,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc95_DD,Lc95,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc99_DD,Lc99,DD,unknown,LC ,,,,Not Rhythmic,FALSE,Insufficient data,0,0,11310
LC _slc8_LD,Lc8,LD,unknown,LC ,23.71460096,35.60013788,1.28E-10,Highly Significant,TRUE,Success,0.065175138,1576,24181
LC _slc65_LD,Lc65,LD,unknown,LC ,24.04474829,1904.732045,0,Highly Significant,TRUE,Success,0.428973161,10373,24181
LC _slc72_LD,Lc72,LD,unknown,LC ,24.73341005,11.74707708,0.813202957,Marginally Significant,TRUE,Success,0.052851412,1278,24181
LC _slc73_LD,Lc73,LD,unknown,LC ,23.9494862,7.089096961,1,Marginally Significant,TRUE,Success,0.051734833,1251,24181
LC _slc74_LD,Lc74,LD,unknown,LC ,24.28625235,79.29823912,2.01E-29,Highly Significant,TRUE,Success,0.078656797,1902,24181
LC _slc75_LD,Lc75,LD,unknown,LC ,24.04474829,91.24555475,1.39E-34,Highly Significant,TRUE,Success,0.08568711,2072,24181
LC _slc76_LD,Lc76,LD,unknown,LC ,23.9494862,262.5100023,9.87E-109,Highly Significant,TRUE,Success,0.147843348,3575,24181
LC _slc78_LD,Lc78,LD,unknown,LC ,23.85497595,24.62255599,6.22E-06,Highly Significant,TRUE,Success,0.064802944,1567,24181
