Comprehensive_Index,Spider_ID,Condition,Date,File_Prefix,Period_hours,Period_Amplitude,Period_p_value,Period_Quality,Period_Analysis_Success,Period_Analysis_Notes,Mean_Activity,Total_Crossings,Valid_Minutes
StA_sga3_LD,sga3,LD,04032024,StA,23.71989973316083,12.776909699864532,0.21092543623303353,Marginally Significant,True,Success,0.08529668411867365,782,9168
StA_sga4_LD,sga4,LD,04032024,StA,24.61146069301116,24.42212641782596,2.869315530465912e-06,Highly Significant,True,Success,0.11038394415357766,1012,9168
StA_sga5_LD,sga5,LD,04032024,StA,23.71989973316083,232.14386739495853,5.4244710190855856e-96,Highly Significant,True,Success,0.2469458987783595,2264,9168
StA_sga7_LD,sga7,LD,04032024,StA,25.4307758994365,6.031428848832129,1.0,Marginally Significant,True,Success,0.03763089005235602,345,9168
StA_sga9_LD,sga9,LD,04032024,StA,30.30726314701932,45.960374937829336,1.7423503161823476e-15,Highly Significant,True,Success,0.16328534031413613,1497,9168
StA_sga10_LD,sga10,LD,04032024,StA,24.878636247985753,14.384019340035652,0.049139123194259504,Significant,True,Success,0.09456806282722513,867,9168
StA_sga11_LD,sga11,LD,04032024,StA,23.597779744187918,206.33257650413665,8.288271420880804e-85,Highly Significant,True,Success,0.28763089005235604,2637,9168
StA_sga12_LD,sga12,LD,04032024,StA,23.843290254409492,352.6810604058494,2.995931205302303e-148,Highly Significant,True,Success,0.37532722513089006,3441,9168
StA_sga13_LD,sga13,LD,04032024,StA,24.221286433820495,48.7686713369886,1.082396674815116e-16,Highly Significant,True,Success,0.21051483420593367,1930,9168
StA_sga14_LD,sga14,LD,04032024,StA,16.898669278184226,16.5491897950819,0.006181637069059644,Very Significant,True,Success,0.11507417102966841,1055,9168
StA_sga15_LD,sga15,LD,04032024,StA,25.290456073799465,5.847213012739635,1.0,Marginally Significant,True,Success,0.05922774869109947,543,9168
StA_sga16_LD,sga16,LD,04032024,StA,23.843290254409492,15.26704973244154,0.021237917986014175,Significant,True,Success,0.13110820244328097,1202,9168
StA_sga17_LD,sga17,LD,04032024,StA,23.71989973316083,340.94580178479873,3.6790993941039064e-143,Highly Significant,True,Success,0.29799301919720766,2732,9168
StA_sga18_LD,sga18,LD,04032024,StA,23.967971239480352,89.63679938285672,2.616712242984204e-34,Highly Significant,True,Success,0.19524432809773123,1790,9168
StA_sga19_LD,sga19,LD,04032024,StA,24.61146069301116,116.9078256328344,4.283296398419279e-46,Highly Significant,True,Success,0.20898778359511344,1916,9168
StA_sga21_LD,sga21,LD,04032024,StA,25.014411187857082,11.574268226510332,0.5279012948091009,Marginally Significant,True,Success,0.07471640488656195,685,9168
StA_sga22_LD,sga22,LD,04032024,StA,20.6246220909794,237.36793893156118,2.9539582996156545e-98,Highly Significant,True,Success,0.3156631762652705,2894,9168
StA_sga25_LD,sga25,LD,04032024,StA,16.653079761566847,19.041458647233775,0.0005500632716416595,Highly Significant,True,Success,0.16034031413612565,1470,9168
StA_sga3_DD,sga3,DD,01182024,StA,20.5977619756353,30.548646078923035,8.927886898277824e-09,Highly Significant,True,Success,0.09162527830107896,1070,11678
StA_sga4_DD,sga4,DD,01182024,StA,26.012112774103723,28.330965522877452,7.897868492373504e-08,Highly Significant,True,Success,0.08494605240623394,992,11678
StA_sga7_DD,sga7,DD,01182024,StA,25.66902521123858,3.3354405184749876,1.0,Marginally Significant,True,Success,0.01892447336872752,221,11678
StA_sga9_DD,sga9,DD,01182024,StA,22.677914668932452,17.87334984362029,0.0021811906408654483,Very Significant,True,Success,0.07501284466518239,876,11678
StA_sga10_DD,sga10,DD,01182024,StA,25.22541011273881,6.591163367974394,1.0,Marginally Significant,True,Success,0.05566021579037506,650,11678
StA_sga11_DD,sga11,DD,01182024,StA,24.796867741721414,93.70005848253204,5.858839079589071e-36,Highly Significant,True,Success,0.26913855112176743,3143,11678
StA_sga12_DD,sga12,DD,01182024,StA,24.796867741721414,854.9387923334338,0.0,Highly Significant,True,Success,0.6141462579208768,7172,11678
StA_sga13_DD,sga13,DD,01182024,StA,16.10828986506876,65.35298405897254,1.0012733259899297e-23,Highly Significant,True,Success,0.11799965747559514,1378,11678
StA_sga14_DD,sga14,DD,01182024,StA,22.416701661767355,31.15243763082002,4.929187630561453e-09,Highly Significant,True,Success,0.10215790375064224,1193,11678
StA_sga15_DD,sga15,DD,01182024,StA,25.556665070788593,94.15345469729289,3.732091569060686e-36,Highly Significant,True,Success,0.09659188217160472,1128,11678
StA_sga16_DD,sga16,DD,01182024,StA,26.012112774103723,14.303141934968263,0.06703807425439677,Marginally Significant,True,Success,0.057115944511046415,667,11678
StA_sga17_DD,sga17,DD,01182024,StA,20.3111376854922,49.07500445359908,1.0180921885526178e-16,Highly Significant,True,Success,0.24147970542901182,2820,11678
