Date_Time,Light,SgB1,SgB2,SgB3,SgB4,SgB5,SgB8,SgB12,SgB14,SgB17,SgB18,SgB21,SgB22,SgB23
8/2/2024 15:06,1,0,8,7,0,0,0,0,0,0,0,9,5,7
8/2/2024 15:07,1,0,10,0,0,0,2,0,0,0,0,0,5,0
8/2/2024 15:08,1,0,0,0,0,0,8,0,0,0,0,3,0,0
8/2/2024 15:09,1,0,0,0,1,0,4,0,0,0,0,7,6,0
8/2/2024 15:10,1,0,0,0,5,0,4,0,0,0,0,3,1,0
8/2/2024 15:11,1,0,0,4,2,0,2,0,0,0,0,0,10,0
8/2/2024 15:12,1,0,0,0,1,0,4,0,0,0,0,3,0,0
8/2/2024 15:13,1,0,0,0,0,0,4,0,0,0,0,0,6,0
8/2/2024 15:14,1,0,0,0,3,0,0,0,0,0,0,0,0,0
8/2/2024 15:15,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8/2/2024 15:16,1,0,0,4,4,0,0,0,0,0,0,0,0,0
8/2/2024 15:17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/2024 15:18,1,0,0,0,2,0,0,0,0,0,0,4,3,0
8/2/2024 15:19,1,0,0,0,0,0,0,0,0,0,0,15,4,0
8/2/2024 15:20,1,0,0,0,0,0,0,0,0,0,0,11,0,0
8/2/2024 15:21,1,0,0,0,0,0,0,0,0,0,0,14,0,0
8/2/2024 15:22,1,0,0,0,3,0,0,0,0,0,0,0,0,0
8/2/2024 15:23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/2024 15:24,1,0,0,0,1,0,4,0,0,0,0,0,0,0
8/2/2024 15:25,1,0,0,0,5,0,5,0,0,0,0,0,0,0
8/2/2024 15:26,1,0,0,0,5,0,13,0,0,0,0,9,0,0
8/2/2024 15:27,1,0,0,0,5,0,8,0,0,0,0,14,0,0
8/2/2024 15:28,1,0,0,0,8,0,2,0,0,0,0,2,0,0
8/2/2024 15:29,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8/2/2024 15:30,1,0,0,0,1,0,7,0,0,0,0,2,0,0
8/2/2024 15:31,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8/2/2024 15:32,1,0,0,5,2,0,0,0,0,0,0,10,0,0
8/2/2024 15:33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
