Species,Comparison,Total_N,Significant_N,Percent_Significant,Mean_Period_All,SD_Period_All,Mean_Period_Significant,SD_Period_Significant,P_Value,Significance
Larinioides,DD,34,30,88.23529411764706,25.675955159999997,1.778883908688229,25.645644180666668,1.785995261124403,,
Larinioides,LD,35,32,91.42857142857143,24.053886932000005,0.2825270725834919,24.0271253084375,0.26269460897664265,,
Larinioides,LL,27,0,0.0,22.78122978444444,5.431587577192691,,,,
Larinioides,DD vs LD,,,,,,,,2.928239268345366e-05,***
Agelenopsis,DD,22,22,100.0,22.58311702453674,4.231661200896263,22.58311702453674,4.231661200896263,,
Agelenopsis,LD,43,38,88.37209302325581,24.152620495829407,3.2932622157070366,24.203952479631017,2.9481317601387595,,
Agelenopsis,LL,29,20,68.96551724137932,23.514374791335808,4.327313757749671,23.92762751659136,4.608834637092968,,
Agelenopsis,DD vs LD,,,,,,,,0.36594691478197905,
Agelenopsis,DD vs LL,,,,,,,,0.997141086988371,
Agelenopsis,LD vs LL,,,,,,,,1.0,
Steatoda,DD,35,24,68.57142857142857,24.071013059428573,3.154126462851315,23.652115884166665,3.6090446662186384,,
Steatoda,LD,31,22,70.96774193548387,23.03265760193548,3.0410233127727495,23.224843115454544,3.3070262840389324,,
Steatoda,LL,34,17,50.0,22.523064059705888,5.07242546767436,23.04790828764706,4.943274446133844,,
Steatoda,DD vs LD,,,,,,,,1.0,
Steatoda,DD vs LL,,,,,,,,1.0,
Steatoda,LD vs LL,,,,,,,,1.0,
