subjective_hour,Ag8F,Ag17F,Ag27F,Ag33F,Ag46F,Ag60F,Ag62F,Ag69F,Ag75F,Ag3M,Ag5M,Ag6M,Ag7M,Ag10M,Ag13M,Ag24M,Ag26M,Ag28M,Ag29M,Ag49M,Ag58M,Ag68M,Ag93M,Ag45F,Ag76F,Ag90F
0,1.0722222222222222,0.03333333333333333,0.06111111111111111,0.06111111111111111,0.18888888888888888,0.06111111111111111,0.027777777777777776,0.05277777777777778,0.027777777777777776,0.3611111111111111,0.13055555555555556,0.08888888888888889,0.38055555555555554,0.12222222222222222,0.3055555555555556,0.3611111111111111,0.49166666666666664,0.16944444444444445,0.38333333333333336,0.325,2.254166666666667,0.4625,0.9708333333333333,0.6666666666666666,1.6583333333333334,1.9625
1,0.1527777777777778,0.2,0.058333333333333334,0.03888888888888889,0.3138888888888889,0.044444444444444446,0.04722222222222222,0.17222222222222222,0.2861111111111111,0.32222222222222224,0.15833333333333333,0.2777777777777778,0.09722222222222222,0.22777777777777777,0.06666666666666667,0.10833333333333334,0.2638888888888889,0.3888888888888889,0.5416666666666666,0.275,0.22083333333333333,0.15416666666666667,0.22083333333333333,0.175,0.1375,0.22083333333333333
2,1.275,0.275,0.03888888888888889,0.15,0.04722222222222222,0.08611111111111111,0.15555555555555556,0.5638888888888889,0.2861111111111111,0.025,0.3972222222222222,0.3861111111111111,0.13055555555555556,0.13055555555555556,0.11944444444444445,0.10555555555555556,0.10555555555555556,0.13055555555555556,0.013888888888888888,0.325,0.12916666666666668,0.11666666666666667,0.03333333333333333,0.3416666666666667,0.44583333333333336,0.30416666666666664
3,0.05,0.2861111111111111,0.14722222222222223,0.2972222222222222,0.16111111111111112,0.09444444444444444,0.29444444444444445,0.10555555555555556,0.4027777777777778,0.3638888888888889,0.37222222222222223,0.6333333333333333,0.15,0.24722222222222223,0.5333333333333333,0.13055555555555556,0.18055555555555555,0.07222222222222222,0.04722222222222222,0.32916666666666666,2.595833333333333,0.09583333333333334,0.004166666666666667,0.04583333333333333,0.15833333333333333,0.2875
4,0.325,0.09444444444444444,0.125,0.2972222222222222,0.18611111111111112,0.14444444444444443,0.10833333333333334,0.06111111111111111,0.1388888888888889,0.10833333333333334,0.08333333333333333,0.33055555555555555,0.11944444444444445,0.24444444444444444,0.10277777777777777,0.3277777777777778,0.2222222222222222,0.7583333333333333,0.125,0.7833333333333333,1.3083333333333333,0.4625,0.3416666666666667,0.2375,0.09166666666666666,0.029166666666666667
5,1.1666666666666667,0.11388888888888889,0.1527777777777778,0.06388888888888888,0.12777777777777777,0.1361111111111111,0.09722222222222222,0.03611111111111111,0.32222222222222224,0.016666666666666666,0.175,0.2222222222222222,0.29444444444444445,0.20555555555555555,0.35,0.16666666666666666,0.14722222222222223,0.13055555555555556,0.03611111111111111,0.09583333333333334,0.21666666666666667,0.175,0.10416666666666667,0.13333333333333333,0.17083333333333334,0.004166666666666667
6,1.9194444444444445,0.13055555555555556,0.13055555555555556,0.2833333333333333,0.08333333333333333,0.06111111111111111,0.075,0.09166666666666666,0.044444444444444446,0.08611111111111111,0.16944444444444445,0.525,0.05277777777777778,0.21388888888888888,0.1638888888888889,0.04722222222222222,0.4583333333333333,0.09166666666666666,0.15833333333333333,0.17916666666666667,0.6708333333333333,0.3125,0.10833333333333334,0.525,0.5583333333333333,0.0125
7,1.5611111111111111,0.11944444444444445,0.3638888888888889,0.20277777777777778,0.1527777777777778,0.11666666666666667,0.05555555555555555,0.08333333333333333,0.10277777777777777,0.03333333333333333,0.5611111111111111,0.3527777777777778,0.5,0.13055555555555556,0.14166666666666666,0.21944444444444444,0.25,0.37777777777777777,0.016666666666666666,0.12083333333333333,0.016666666666666666,0.15833333333333333,0.26666666666666666,0.0875,0.25416666666666665,0.0
8,0.5111111111111111,0.2611111111111111,0.10833333333333334,0.36944444444444446,0.07222222222222222,0.06944444444444445,0.03611111111111111,0.5416666666666666,0.12777777777777777,0.06944444444444445,0.11944444444444445,0.3111111111111111,0.14444444444444443,0.10555555555555556,0.10277777777777777,0.1638888888888889,0.36666666666666664,0.225,0.041666666666666664,0.9041666666666667,0.004166666666666667,0.7166666666666667,0.23333333333333334,0.07916666666666666,0.3375,0.025
9,0.7722222222222223,0.12222222222222222,0.4361111111111111,0.28888888888888886,0.05555555555555555,0.13055555555555556,0.07222222222222222,0.2916666666666667,0.06944444444444445,0.09444444444444444,0.5333333333333333,0.06666666666666667,0.1638888888888889,0.08611111111111111,0.15,0.07222222222222222,0.18611111111111112,0.10833333333333334,0.03611111111111111,0.32083333333333336,0.03333333333333333,0.4625,0.025,0.025,0.30416666666666664,0.0
