subjective_hour,Lc7,Lc8,Lc63,Lc65,Lc69,Lc72,Lc73,Lc74,Lc75,Lc76,Lc78,Lc79,Lc80,Lc81,Lc82,Lc85,Lc86,Lc87,Lc100,LcF8,LcF23,LcF27,LcF30,LcF31,LcF44,LcF45,LcF48,LcF49,LcF52,LcF53
0,0.0,0.006289308176100629,0.0,0.008113590263691683,0.012244897959183673,0.20149253731343283,0.013303769401330377,0.0,0.3891402714932127,0.0,0.06263048016701461,0.0066518847006651885,0.20463320463320464,0.0405727923627685,0.008639308855291577,0.018433179723502304,0.015486725663716814,0.0,0.0,0.1392857142857143,0.0,0.009933774834437087,0.0017574692442882249,0.0,0.008605851979345954,0.04923599320882852,0.0,0.1708542713567839,0.006980802792321117,0.0
1,0.0,0.002028397565922921,0.0,0.0,0.004319654427645789,0.07102803738317758,0.04656319290465632,0.0,0.38537549407114624,0.0,0.07977736549165121,0.0066518847006651885,0.16795366795366795,0.002386634844868735,0.0,0.1330049261083744,0.01327433628318584,0.025210084033613446,0.0,0.0,0.015544041450777202,0.06743421052631579,0.00473186119873817,0.0,0.02413793103448276,0.02891156462585034,0.0,0.10367892976588629,0.03304347826086956,0.0
2,0.0,0.0018656716417910447,0.0,0.2524850894632207,0.0,0.06809338521400778,0.0854368932038835,0.0,0.1782178217821782,0.0,0.06319702602230483,0.28932038834951457,0.05,0.009541984732824428,0.0,0.0,0.10617760617760617,0.0,0.0166358595194085,0.05734767025089606,0.001718213058419244,0.006578947368421052,0.03481012658227848,0.0,0.0,0.08843537414965986,0.01079136690647482,0.006700167504187605,0.12914485165794065,0.012987012987012988
3,0.0,0.0,0.022058823529411766,0.31547619047619047,0.0326530612244898,0.03368421052631579,0.027184466019417475,0.0,0.06521739130434782,0.0,0.062146892655367235,0.0,0.21428571428571427,0.0,0.0,0.004914004914004914,0.1760154738878143,0.0,0.09191176470588236,0.0,0.0,0.054276315789473686,0.15323854660347552,0.0,0.010344827586206896,0.001697792869269949,0.3471223021582734,0.05016722408026756,0.059336823734729496,0.05194805194805195
4,0.0,0.0038910505836575876,0.0,0.49502982107355864,0.026530612244897958,0.018907563025210083,0.031067961165048542,0.0,0.20396039603960395,0.0,0.033542976939203356,0.007766990291262136,0.42953020134228187,0.007407407407407408,0.0,0.0,0.17408123791102514,0.0019011406844106464,0.007874015748031496,0.019642857142857142,0.012089810017271158,0.021897810218978103,0.3175355450236967,0.0,0.010327022375215147,0.0,0.08617594254937164,0.05016722408026756,0.45121951219512196,0.12962962962962962
5,0.0,0.0,0.0,0.1865079365079365,0.006109979633401222,0.07563025210084033,0.04669260700389105,0.0,0.22529644268774704,0.0,0.23221757322175732,0.03696498054474708,0.36036036036036034,0.002036659877800407,0.002044989775051125,0.004210526315789474,0.5164410058027079,0.0,0.006224066390041493,0.0,0.06529209621993128,0.02631578947368421,0.30173775671406006,0.0,0.005172413793103448,0.0,0.0,0.0,0.1784037558685446,0.17996289424860853
6,0.03925619834710744,0.0,0.10580912863070539,0.6918489065606361,0.0,0.0,0.13980582524271845,0.0,0.5782178217821782,0.0,0.15271966527196654,0.001941747572815534,0.24604966139954854,0.029166666666666667,0.0,0.3691983122362869,0.2951167728237792,0.001869158878504673,0.03112033195020747,0.0,0.0,0.06015037593984962,0.24646781789638933,0.0,0.0,0.0017006802721088435,0.007194244604316547,0.0,0.49921507064364207,0.1696869851729819
7,0.16942148760330578,0.0,0.15767634854771784,0.5657370517928287,0.1079429735234216,0.04,0.15604395604395604,0.0,0.41386138613861384,0.0,0.0502092050209205,0.12747252747252746,0.1981981981981982,0.0,0.0,0.47357293868921774,0.5088495575221239,0.031512605042016806,0.0,0.0,0.0,0.03787878787878788,0.2711267605633803,0.0,0.0,0.0,0.0,0.0,0.34379905808477235,0.1186161449752883
8,0.09297520661157024,0.0,0.2053941908713693,1.2087475149105367,0.3326530612244898,0.0649895178197065,0.26222222222222225,0.0,0.5513833992094862,0.004149377593360996,0.03556485355648536,0.4955555555555556,0.12837837837837837,0.0125,0.0020408163265306124,0.4264705882352941,0.32671081677704195,0.39705882352941174,0.026970954356846474,0.0,0.0,0.07330827067669173,0.11733800350262696,0.0,0.0068846815834767644,0.23469387755102042,0.0035971223021582736,0.18267419962335216,0.3516483516483517,0.17462932454695224
9,0.22520661157024793,0.0,0.28482328482328484,1.2306163021868788,0.34285714285714286,0.023157894736842106,0.16444444444444445,0.0942622950819672,1.212719298245614,0.5218295218295218,0.42887029288702927,0.12444444444444444,0.34234234234234234,0.03549060542797495,0.012219959266802444,0.7974217311233885,0.19469026548672566,0.5849056603773585,0.6340956340956341,0.0,0.0,0.20112781954887218,0.3110720562390158,0.4188034188034188,0.0017241379310344827,1.5086206896551724,0.10771992818671454,0.17702448210922786,0.5787728026533997,0.06435643564356436
