subjective_hour,Lc8,Lc65,Lc74,Lc75,Lc76,Lc78,Lc81,Lc82,Lc85,Lc87,Lc100,Lc6,Lc11,Lc13,Lc14,Lc15,Lc90,Lc92,Lc93,Lc95,LcF23,LcF22,LcF21,LcF20,LcF19,LcF11,LcF5,LcF6,LcF2
0,0.15208333333333332,0.1625,0.04583333333333333,0.036458333333333336,0.17916666666666667,0.17604166666666668,0.0125,0.03229166666666667,0.16770833333333332,0.65,0.0625,0.5125,0.271875,0.0125,0.036458333333333336,0.011458333333333333,0.05416666666666667,0.20208333333333334,0.027083333333333334,0.13125,0.03333333333333333,0.275,0.001388888888888889,0.3541666666666667,0.2902777777777778,0.2833333333333333,0.08333333333333333,0.26666666666666666,0.46111111111111114
1,0.0010416666666666667,0.0125,0.0,0.010416666666666666,0.019791666666666666,0.028125,0.0,0.0,0.0,0.24479166666666666,0.03333333333333333,0.0,0.005208333333333333,0.01875,0.0,0.0,0.04479166666666667,0.017708333333333333,0.0,0.0,0.8222222222222222,1.1180555555555556,0.525,1.8291666666666666,0.5138888888888888,0.20555555555555555,0.4930555555555556,0.55,0.9277777777777778
2,0.004166666666666667,0.0,0.0,0.003125,0.0,0.0,0.0,0.021875,0.0010416666666666667,0.016666666666666666,0.0,0.0020833333333333333,0.003125,0.028125,0.0,0.007291666666666667,0.12708333333333333,0.003125,0.0020833333333333333,0.0,1.1666666666666667,0.47638888888888886,0.35833333333333334,1.6097222222222223,0.475,0.1763888888888889,0.21805555555555556,0.48194444444444445,0.29305555555555557
3,0.0,0.05,0.0,0.010416666666666666,0.0,0.0,0.0,0.0020833333333333333,0.015625,0.007291666666666667,0.0,0.0,0.0,0.030208333333333334,0.0,0.007291666666666667,0.005208333333333333,0.036458333333333336,0.0,0.0,0.7347222222222223,0.44722222222222224,0.23055555555555557,0.4361111111111111,0.3472222222222222,0.13472222222222222,0.05416666666666667,0.36666666666666664,0.3625
4,0.0,0.008333333333333333,0.014583333333333334,0.0010416666666666667,0.0,0.0,0.0,0.0,0.03854166666666667,0.03333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.003125,0.013541666666666667,0.03125,0.0,0.0,0.5736111111111111,0.6638888888888889,0.11666666666666667,0.6722222222222223,0.27361111111111114,0.15833333333333333,0.2569444444444444,0.1625,0.2652777777777778
5,0.0,0.0,0.0,0.008333333333333333,0.0,0.005208333333333333,0.0,0.0,0.016666666666666666,0.040625,0.0,0.0010416666666666667,0.0,0.009375,0.0,0.0020833333333333333,0.013541666666666667,0.030208333333333334,0.0,0.0,0.5805555555555556,0.25416666666666665,0.08888888888888889,0.44305555555555554,0.31666666666666665,0.1375,0.15,0.1875,0.3972222222222222
6,0.0,0.010416666666666666,0.0,0.0010416666666666667,0.0,0.0,0.0,0.0,0.0010416666666666667,0.008333333333333333,0.0,0.0,0.016666666666666666,0.026041666666666668,0.007291666666666667,0.008333333333333333,0.03333333333333333,0.029166666666666667,0.003125,0.0,0.5902777777777778,0.48055555555555557,0.006944444444444444,0.5902777777777778,0.3597222222222222,0.24305555555555555,0.325,0.14166666666666666,0.16111111111111112
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029166666666666667,0.04583333333333333,0.0,0.0,0.017708333333333333,0.0020833333333333333,0.0,0.09583333333333334,0.009375,0.030208333333333334,0.004166666666666667,0.0,0.3055555555555556,0.14027777777777778,0.0625,0.5694444444444444,0.32083333333333336,0.16944444444444445,0.07361111111111111,0.20833333333333334,0.05
8,0.0,0.022916666666666665,0.0,0.0010416666666666667,0.0020833333333333333,0.0020833333333333333,0.0,0.0,0.0010416666666666667,0.04375,0.0,0.040625,0.0020833333333333333,0.011458333333333333,0.0,0.0,0.0010416666666666667,0.034375,0.0020833333333333333,0.0,0.5416666666666666,0.2833333333333333,0.006944444444444444,0.5013888888888889,0.20694444444444443,0.13194444444444445,0.1388888888888889,0.09861111111111111,0.006944444444444444
9,0.0,0.051041666666666666,0.0,0.010416666666666666,0.003125,0.004166666666666667,0.0,0.0,0.020833333333333332,0.007291666666666667,0.0,0.003125,0.0,0.09791666666666667,0.0,0.0010416666666666667,0.011458333333333333,0.05625,0.020833333333333332,0.0,0.2986111111111111,0.04583333333333333,0.05138888888888889,0.3597222222222222,0.09305555555555556,0.13333333333333333,0.034722222222222224,0.06944444444444445,0.04027777777777778
10,0.0,0.028125,0.0,0.008333333333333333,0.005208333333333333,0.00625,0.0,0.0010416666666666667,0.03125,0.19895833333333332,0.0,0.016666666666666666,0.125,0.0625,0.013541666666666667,0.030208333333333334,0.046875,0.046875,0.0020833333333333333,0.0020833333333333333,0.17777777777777778,0.03888888888888889,0.001388888888888889,0.03194444444444444,0.05555555555555555,0.06944444444444445,0.0125,0.005555555555555556,0.0
11,0.0,0.13854166666666667,0.0,0.011458333333333333,0.010416666666666666,0.009375,0.0,0.0,0.24479166666666666,0.15625,0.0,0.05625,0.13229166666666667,0.21458333333333332,0.0,0.0,0.015625,0.0375,0.15520833333333334,0.0,0.013888888888888888,0.006944444444444444,0.022222222222222223,0.0,0.030555555555555555,0.034722222222222224,0.06388888888888888,0.0,0.022222222222222223
12,0.022916666666666665,0.26145833333333335,0.3416666666666667,0.3302083333333333,0.6416666666666667,0.528125,0.79375,0.5020833333333333,1.934375,0.14270833333333333,0.534375,0.07083333333333333,0.38125,0.7739583333333333,1.33125,0.278125,0.6677083333333333,0.65,0.3020833333333333,0.7510416666666667,0.26666666666666666,0.5541666666666667,0.12916666666666668,0.0875,0.05416666666666667,0.05138888888888889,0.09722222222222222,0.13333333333333333,0.09444444444444444
13,0.6145833333333334,1.54375,0.30104166666666665,0.3645833333333333,0.6729166666666667,0.38125,0.7416666666666667,1.3260416666666666,1.51875,0.49270833333333336,0.56875,0.9072916666666667,0.703125,0.49375,1.4552083333333334,0.7739583333333333,0.8791666666666667,0.7177083333333333,0.7104166666666667,0.671875,0.0125,0.0,0.025,0.0,0.0,0.020833333333333332,0.020833333333333332,0.004166666666666667,0.0
14,0.32708333333333334,1.2135416666666667,0.06770833333333333,0.196875,0.36770833333333336,0.0,0.3572916666666667,0.94375,0.303125,0.13854166666666667,0.2833333333333333,1.553125,0.7354166666666667,0.4427083333333333,0.7083333333333334,0.675,0.8604166666666667,0.20416666666666666,0.921875,0.32083333333333336,0.006944444444444444,0.0,0.04027777777777778,0.0,0.0,0.018055555555555554,0.0,0.001388888888888889,0.03194444444444444
15,0.035416666666666666,0.7666666666666667,0.22291666666666668,0.2760416666666667,0.5239583333333333,0.00625,0.5114583333333333,0.5291666666666667,0.4635416666666667,0.026041666666666668,0.2989583333333333,0.5541666666666667,0.5260416666666666,0.53125,0.5979166666666667,0.421875,0.33541666666666664,0.29791666666666666,0.26458333333333334,0.325,0.0,0.001388888888888889,0.0375,0.011111111111111112,0.0,0.025,0.0,0.030555555555555555,0.030555555555555555
16,0.030208333333333334,1.040625,0.171875,0.225,0.21354166666666666,0.059375,0.3,0.27395833333333336,0.196875,0.10104166666666667,0.17708333333333334,0.46041666666666664,0.38229166666666664,0.13020833333333334,0.6322916666666667,0.575,0.271875,0.24375,0.11354166666666667,0.5270833333333333,0.0,0.006944444444444444,0.005555555555555556,0.005555555555555556,0.0,0.02638888888888889,0.0,0.022222222222222223,0.005555555555555556
17,0.041666666666666664,0.6333333333333333,0.178125,0.11041666666666666,0.2833333333333333,0.08125,0.334375,0.7447916666666666,0.7427083333333333,0.06041666666666667,0.234375,0.5604166666666667,0.49583333333333335,0.44479166666666664,0.2875,0.41354166666666664,0.3885416666666667,0.31979166666666664,0.12604166666666666,0.315625,0.06111111111111111,0.0,0.0,0.0,0.0,0.043055555555555555,0.0,0.0,0.03888888888888889
18,0.040625,1.009375,0.08958333333333333,0.16145833333333334,0.325,0.07395833333333333,0.5510416666666667,0.325,0.19791666666666666,0.24166666666666667,0.21354166666666666,0.525,0.278125,0.253125,0.2520833333333333,0.6989583333333333,0.59375,0.33958333333333335,0.165625,0.271875,0.0,0.001388888888888889,0.0,0.018055555555555554,0.0,0.004166666666666667,0.0,0.002777777777777778,0.0
19,0.013318534961154272,0.5837957824639289,0.0876803551609323,0.16981132075471697,0.1598224195338513,0.0,0.25749167591564925,0.6004439511653719,0.46170921198668147,0.16648168701442842,0.23640399556048836,0.26082130965593786,0.36293007769145397,0.2807991120976693,0.12541620421753608,0.7413984461709212,0.6304106548279689,0.17980022197558268,0.4694783573806881,0.2586015538290788,0.0,0.0,0.0,0.0,0.0,0.001388888888888889,0.0,0.0,0.0
20,0.0,0.7,0.02,0.07666666666666666,0.11333333333333333,0.03777777777777778,0.2911111111111111,0.33666666666666667,0.41333333333333333,0.17666666666666667,0.12777777777777777,0.1711111111111111,0.27111111111111114,0.45555555555555555,0.013333333333333334,0.6566666666666666,0.20666666666666667,0.16,0.23777777777777778,0.17222222222222222,0.015277777777777777,0.002777777777777778,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0
