subjective_hour,SgA4,SgA7,SgA10,SgA11,SgA12,SgA13,SgA14,SgA17,SgA18,SgA23,SgA25,SgB1,SgB2,SgB3,SgB8,SgB18,SgB21
0,0.0,0.011560693641618497,0.0,0.0,0.02197802197802198,0.0,0.0018115942028985507,0.1596958174904943,0.060714285714285714,0.009208103130755065,0.0,0.04988399071925754,0.054245283018867926,0.0322180916976456,0.7178871548619448,0.016129032258064516,0.2558746736292428
1,0.0,0.0,0.0,0.0,0.06581352833638025,0.0,0.0018115942028985507,0.0,0.15178571428571427,0.034990791896869246,0.04436860068259386,0.0,0.017605633802816902,0.01485148514851485,0.37290167865707435,0.04962779156327544,0.11488250652741515
2,0.16023166023166024,0.07707129094412331,0.0037593984962406013,0.04423076923076923,0.10805860805860806,0.10474308300395258,0.0018148820326678765,0.03231939163498099,0.0,0.0,0.0,0.08468677494199536,0.0625,0.36322360953461974,0.163855421686747,0.02973977695167286,0.954653937947494
3,0.0,0.007707129094412331,0.0,0.06538461538461539,0.05964214711729622,0.28793774319066145,0.0,0.055133079847908745,0.0,0.0,0.005836575875486381,0.03182374541003672,0.0,0.15891032917139614,0.6526442307692307,0.03970223325062035,0.5239234449760766
4,0.0,0.0019230769230769232,0.0,0.0038461538461538464,0.15885947046843177,0.29250457038391225,0.0018115942028985507,0.4026717557251908,0.0125,0.10865561694290976,0.009746588693957114,0.084472049689441,0.16588235294117648,0.10442678774120318,0.6274038461538461,0.05707196029776675,0.9270334928229665
5,0.03275529865125241,0.0,0.0037593984962406013,0.015355086372360844,0.1565040650406504,0.0,0.0018148820326678765,0.18285714285714286,0.0,0.16051660516605165,0.0,0.08094645080946451,0.09080188679245282,0.04431818181818182,0.0985576923076923,0.08333333333333333,0.06937799043062201
6,0.04816955684007707,0.06551059730250482,0.15140186915887852,0.0,0.18737270875763748,0.20253164556962025,0.045372050816696916,0.0,0.32321428571428573,0.23756906077348067,0.0,0.040993788819875775,0.018823529411764704,0.13961407491486946,0.12004801920768307,0.09953703703703703,0.09808612440191387
7,0.4749034749034749,0.057803468208092484,0.15977443609022557,0.0,0.5415821501014199,0.02197802197802198,0.0,0.0,0.25892857142857145,0.6703499079189686,0.007797270955165692,0.16169154228855723,0.04588235294117647,0.20909090909090908,0.12259615384615384,0.05330243337195829,0.2834928229665072
8,0.24324324324324326,0.03076923076923077,0.14794007490636704,0.0,0.18902439024390244,0.25405405405405407,0.09362549800796813,0.07238095238095238,0.1392857142857143,0.2933579335793358,0.06042884990253411,0.012422360248447204,0.3018867924528302,0.21679909194097616,0.42771084337349397,0.03125,0.6391875746714456
9,0.16602316602316602,0.22552447552447552,0.0,0.22115384615384615,0.15478615071283094,0.09454545454545454,0.029940119760479042,0.0,0.048214285714285716,0.27808471454880296,0.01556420233463035,0.03980099502487562,0.018823529411764704,0.7985166872682324,0.6538461538461539,0.07068366164542295,0.3444976076555024
10,0.30694980694980695,0.038461538461538464,0.07061068702290077,0.0,0.052845528455284556,0.16939890710382513,0.16167664670658682,0.31993006993006995,0.0,0.2265193370165746,0.0,0.036069651741293535,0.06,0.08426270136307311,0.919664268585132,0.08101851851851852,2.2556750298685784
11,0.33204633204633205,0.22727272727272727,0.27892561983471076,0.0196078431372549,0.14625228519195613,0.07733812949640288,0.31274900398406374,0.10283687943262411,0.30892857142857144,0.5166051660516605,0.007797270955165692,0.12064676616915423,0.18831942789034564,0.4423791821561338,1.0517448856799037,0.19560185185185186,0.12335329341317365
