species,condition,hour,mean_activity,sem,p_value,significant_bonferroni,n_spiders,bonferroni_threshold
Larinioides,DD,0,0.04580952761382782,0.0162200649672962,1.0,False,30,0.0020833333333333333
Larinioides,DD,1,0.04050185642104985,0.014293078088964715,1.0,False,30,0.0020833333333333333
Larinioides,DD,2,0.04898284855240101,0.013841797829235714,1.0,False,30,0.0020833333333333333
Larinioides,DD,3,0.05912266260995682,0.01686124012543384,1.0,False,30,0.0020833333333333333
Larinioides,DD,4,0.08467255758960027,0.026738670798579688,1.0,False,30,0.0020833333333333333
Larinioides,DD,5,0.08192073621800011,0.02407652105053344,1.0,False,30,0.0020833333333333333
Larinioides,DD,6,0.12221784572974696,0.034718522090685384,1.0,False,30,0.0020833333333333333
Larinioides,DD,7,0.1257306329032359,0.03139876737059535,1.0,False,30,0.0020833333333333333
Larinioides,DD,8,0.19061797028709723,0.04650813801167162,1.0,False,30,0.0020833333333333333
Larinioides,DD,9,0.3541206500666022,0.07182226124973144,0.18845889608480887,False,30,0.0020833333333333333
Larinioides,DD,10,0.5715912164366077,0.07898793164725249,8.658760735711492e-05,True,30,0.0020833333333333333
Larinioides,DD,11,0.887991369620531,0.16809997230376245,8.696292423500655e-05,True,30,0.0020833333333333333
Larinioides,DD,12,1.3057291319906714,0.18681695376727786,1.7188467918501077e-07,True,30,0.0020833333333333333
Larinioides,DD,13,0.6826650115520762,0.12406186653459918,0.00010379376021766157,True,30,0.0020833333333333333
Larinioides,DD,14,0.50092737055331,0.06837179723472578,5.260274732739549e-05,True,30,0.0020833333333333333
Larinioides,DD,15,0.3766065285372352,0.05914622304620518,0.05008976022892687,False,30,0.0020833333333333333
Larinioides,DD,16,0.47253482619094583,0.11081821945454257,0.028897752404816394,False,30,0.0020833333333333333
Larinioides,DD,17,0.2810869147092756,0.07094536094649088,1.0,False,30,0.0020833333333333333
Larinioides,DD,18,0.3384032850846663,0.09109345075026874,0.27492206917186846,False,30,0.0020833333333333333
Larinioides,DD,19,0.18005597051105485,0.05807828802913119,1.0,False,30,0.0020833333333333333
Larinioides,DD,20,0.15084096897290686,0.057771544774407144,1.0,False,30,0.0020833333333333333
Larinioides,DD,21,0.11393248790648737,0.043538671463743794,1.0,False,30,0.0020833333333333333
Larinioides,DD,22,0.029426110943000617,0.008766892470704047,1.0,False,30,0.0020833333333333333
Larinioides,DD,23,0.03600147768108037,0.01333105920394286,1.0,False,30,0.0020833333333333333
Larinioides,LD,0,0.17189894636015324,0.030837466129523906,1.0,False,29,0.0020833333333333333
Larinioides,LD,1,0.25590277777777776,0.08174787061940253,0.17254650730450954,False,29,0.0020833333333333333
Larinioides,LD,2,0.1888050766283525,0.06942886185832263,0.43404190209272364,False,29,0.0020833333333333333
Larinioides,LD,3,0.11305076628352491,0.03553375042069878,1.0,False,29,0.0020833333333333333
Larinioides,LD,4,0.11621168582375481,0.03709506948261985,1.0,False,29,0.0020833333333333333
Larinioides,LD,5,0.09250478927203064,0.029267067135531802,1.0,False,29,0.0020833333333333333
Larinioides,LD,6,0.1049449233716475,0.03423703005670949,1.0,False,29,0.0020833333333333333
Larinioides,LD,7,0.07359913793103448,0.024327534014009333,1.0,False,29,0.0020833333333333333
Larinioides,LD,8,0.07176724137931036,0.02650576301853783,1.0,False,29,0.0020833333333333333
Larinioides,LD,9,0.048754789272030655,0.01588985707932704,1.0,False,29,0.0020833333333333333
Larinioides,LD,10,0.03510536398467433,0.009500673392924324,1.0,False,29,0.0020833333333333333
Larinioides,LD,11,0.04747365900383141,0.013055434282778736,1.0,False,29,0.0020833333333333333
Larinioides,LD,12,0.43819444444444444,0.07778997717083233,0.000698632571951746,True,29,0.0020833333333333333
Larinioides,LD,13,0.5490301724137931,0.08978701276653357,4.360354585955558e-05,True,29,0.0020833333333333333
Larinioides,LD,14,0.36963601532567053,0.0772829833300751,0.004886840709206577,False,29,0.0020833333333333333
Larinioides,LD,15,0.2638170498084291,0.04439085145838129,0.014212098824934438,False,29,0.0020833333333333333
Larinioides,LD,16,0.21373323754789267,0.04527668455016878,0.17316023444002648,False,29,0.0020833333333333333
Larinioides,LD,17,0.2393079501915709,0.04350489621700058,0.04376444726984065,False,29,0.0020833333333333333
Larinioides,LD,18,0.22874760536398467,0.0462827622776178,0.09610765344178329,False,29,0.0020833333333333333
Larinioides,LD,19,0.2085518538363079,0.04191211908617261,0.18796582239391052,False,29,0.0020833333333333333
Larinioides,LD,20,0.16078544061302685,0.03636525623456724,1.0,False,29,0.0020833333333333333
Larinioides,LD,21,0.15012452107279697,0.04247503923518569,1.0,False,29,0.0020833333333333333
Larinioides,LD,22,0.07123563218390805,0.020937568043437868,1.0,False,29,0.0020833333333333333
Larinioides,LD,23,0.04508620689655172,0.015430452641277346,1.0,False,29,0.0020833333333333333
Agelenopsis,DD,0,0.35724382838115676,0.04873212040709403,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,1,0.3575226134890466,0.04255144237985418,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,2,0.3659178442955081,0.056049445440769376,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,3,0.3069951139128726,0.055935380855387906,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,4,0.4012795195639756,0.05617698363122947,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,5,0.42693621155954325,0.05136503532663195,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,6,0.45777619216775683,0.07490090664795766,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,7,0.4053653842860754,0.06425709959729566,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,8,0.37146799806244224,0.07244803196252435,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,9,0.426021200516959,0.08531168456496616,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,10,0.4369917140982213,0.06363301838050034,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,11,0.5572655237519805,0.055340781101839875,0.07236919023646528,False,22,0.0020833333333333333
Agelenopsis,DD,12,1.4223299307338486,0.10743497963423297,3.7683399807104853e-10,True,22,0.0020833333333333333
Agelenopsis,DD,13,0.7294471604083369,0.09161054850045533,0.0016372572412488883,True,22,0.0020833333333333333
Agelenopsis,DD,14,0.530216884202258,0.08456859313847329,0.21289836252541966,False,22,0.0020833333333333333
Agelenopsis,DD,15,0.754532374630589,0.12031851509832249,0.006565593244616693,False,22,0.0020833333333333333
Agelenopsis,DD,16,0.39932929413201335,0.054129450466673466,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,17,0.5164571394361658,0.0676167717984412,0.2383070733122304,False,22,0.0020833333333333333
Agelenopsis,DD,18,0.37531970962784467,0.05769007285832493,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,19,0.4617338636484656,0.0845131703017472,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,20,0.3544542147209289,0.048842468804575524,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,21,0.30657334887518,0.037231820418170435,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,22,0.30153980909599104,0.03389801607784197,1.0,False,22,0.0020833333333333333
Agelenopsis,DD,23,0.3540904495436579,0.05099899933736838,1.0,False,22,0.0020833333333333333
Agelenopsis,LD,0,0.4877136752136752,0.12001925623800189,0.16076737182890366,False,26,0.0020833333333333333
Agelenopsis,LD,1,0.19887820512820514,0.023112253838290464,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,2,0.23530982905982906,0.05053131598603862,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,3,0.31100427350427345,0.09637638540164883,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,4,0.27526709401709404,0.055752163817766445,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,5,0.18696581196581194,0.042719120965641864,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,6,0.27510683760683763,0.07513559770810503,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,7,0.24022435897435898,0.060083309168629175,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,8,0.2325854700854701,0.04421483362134309,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,9,0.18872863247863247,0.03707101310459911,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,10,0.18466880341880343,0.03602582637510491,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,11,0.23392094017094014,0.05928052590759525,1.0,False,26,0.0020833333333333333
Agelenopsis,LD,12,0.8677576838172866,0.15281552915187835,0.0008043283101930754,True,26,0.0020833333333333333
Agelenopsis,LD,13,0.6707692307692307,0.10819769758853333,0.001529667513912117,True,26,0.0020833333333333333
Agelenopsis,LD,14,0.44559829059829065,0.07348266279413884,0.11705269432354626,False,26,0.0020833333333333333
Agelenopsis,LD,15,0.42435897435897435,0.06193005039391363,0.10064868271225504,False,26,0.0020833333333333333
Agelenopsis,LD,16,0.47555555555555556,0.09043545598881578,0.08297230088973091,False,26,0.0020833333333333333
Agelenopsis,LD,17,0.3851282051282051,0.06795697417990887,0.38140117019278535,False,26,0.0020833333333333333
Agelenopsis,LD,18,0.3762393162393163,0.06386940845850851,0.43218322842598483,False,26,0.0020833333333333333
Agelenopsis,LD,19,0.4995299145299145,0.06885632461864569,0.02146355945021576,False,26,0.0020833333333333333
Agelenopsis,LD,20,0.40824786324786316,0.05492507797195857,0.22412884395074784,False,26,0.0020833333333333333
Agelenopsis,LD,21,0.36641025641025643,0.07919891669264749,0.4997426371536714,False,26,0.0020833333333333333
Agelenopsis,LD,22,0.40888888888888886,0.13037411287039555,0.3619947589423659,False,26,0.0020833333333333333
Agelenopsis,LD,23,0.41367521367521365,0.08986244144604018,0.27158673403115974,False,26,0.0020833333333333333
Agelenopsis,LL,0,0.1879751297718284,0.045882364470975136,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,1,0.20218497878032388,0.038721047925464235,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,2,0.20944504912561007,0.08023710576562397,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,3,0.2599721109197643,0.07253775765469671,0.4472107382708649,False,9,0.0020833333333333333
Agelenopsis,LL,4,0.18242273840509102,0.05291342726377216,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,5,0.15330959306833494,0.024740213843727116,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,6,0.27304507354014323,0.08304062711216166,0.3747788937000128,False,9,0.0020833333333333333
Agelenopsis,LL,7,0.14509126328212968,0.014487266240301354,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,8,0.19170714362324623,0.037366041942763654,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,9,0.12989245515422437,0.03534582533881903,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,10,0.20324250694225338,0.026810300703326115,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,11,0.267389026550419,0.0771123130398298,0.42327241430366747,False,9,0.0020833333333333333
Agelenopsis,LL,12,0.9260861090189292,0.15946424250756763,0.0010022699963124564,True,9,0.0020833333333333333
Agelenopsis,LL,13,0.4121039334828552,0.09853200562807206,0.04797990750220821,False,9,0.0020833333333333333
Agelenopsis,LL,14,0.22465138992942046,0.07978214534971273,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,15,0.306211749846794,0.07806759596561601,0.16528972505231224,False,9,0.0020833333333333333
Agelenopsis,LL,16,0.19638922169107673,0.05355450013619017,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,17,0.22457280752593534,0.055628602367623174,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,18,0.21591003972442518,0.05296227978098018,1.0,False,9,0.0020833333333333333
Agelenopsis,LL,19,0.21785311969625695,0.06247083781515253,1.0,False,9,0.0020833333333333333
