species,condition,hour,mean_activity,sem,p_value,significant_bonferroni,n_spiders,bonferroni_threshold
Agelenopsis,DD,12,1.4223299307338486,0.10743497963423297,3.7683399807104853e-10,True,22,0.0020833333333333333
Agelenopsis,DD,13,0.7294471604083369,0.09161054850045533,0.0016372572412488883,True,22,0.0020833333333333333
Agelenopsis,LD,12,0.8677576838172866,0.15281552915187835,0.0008043283101930754,True,26,0.0020833333333333333
Agelenopsis,LD,13,0.6707692307692307,0.10819769758853333,0.001529667513912117,True,26,0.0020833333333333333
Agelenopsis,LL,12,0.9260861090189292,0.15946424250756763,0.0010022699963124564,True,9,0.0020833333333333333
Larinioides,DD,10,0.5715912164366077,0.07898793164725249,8.658760735711492e-05,True,30,0.0020833333333333333
Larinioides,DD,11,0.887991369620531,0.16809997230376245,8.696292423500655e-05,True,30,0.0020833333333333333
Larinioides,DD,12,1.3057291319906714,0.18681695376727786,1.7188467918501077e-07,True,30,0.0020833333333333333
Larinioides,DD,13,0.6826650115520762,0.12406186653459918,0.00010379376021766157,True,30,0.0020833333333333333
Larinioides,DD,14,0.50092737055331,0.06837179723472578,5.260274732739549e-05,True,30,0.0020833333333333333
Larinioides,LD,12,0.43819444444444444,0.07778997717083233,0.000698632571951746,True,29,0.0020833333333333333
Larinioides,LD,13,0.5490301724137931,0.08978701276653357,4.360354585955558e-05,True,29,0.0020833333333333333
Steatoda,DD,12,1.2109471313252604,0.1784538730675388,7.00176282521902e-07,True,24,0.0020833333333333333
Steatoda,LL,12,0.8571429942862895,0.19636222093624323,0.00021837460707688097,True,17,0.0020833333333333333
