species,cond,spider,expt,days,n_full_days,empty_days,mean_counts_per_min,tau_h,LS_p,rhythmic,lab_period_h,lab_p
Agelenopsis pennsylvanica,DD,Ag4F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.706,16.891,6.221399305315301e-06,True,,
Agelenopsis pennsylvanica,DD,Ag8F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.71,16.076,2.4403009494614353e-06,True,16.07394909,1.92e-77
Agelenopsis pennsylvanica,DD,Ag17F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.4062,26.011,0.0002643411998156397,True,25.93867645,2.69e-12
Agelenopsis pennsylvanica,DD,Ag27F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.4001,14.158,0.00043880010421626175,True,20.37987164,0.021740397
Agelenopsis pennsylvanica,DD,Ag33F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.6322,23.777,2.8756090004021725e-12,True,23.77688551,4.2100000000000004e-109
Agelenopsis pennsylvanica,DD,Ag46F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.2487,14.946,5.013101610521939e-07,True,17.92555019,6.36e-06
Agelenopsis pennsylvanica,DD,Ag60F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.283,23.725,0.0004040360124222714,True,23.77688551,1.67e-06
Agelenopsis pennsylvanica,DD,Ag62F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.3121,26.064,2.384365593518076e-08,True,26.13670524,1.25e-18
Agelenopsis pennsylvanica,DD,Ag69F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.3782,25.17,1.3098818039538337e-06,True,25.17568654,2.12e-24
Agelenopsis pennsylvanica,DD,Ag72F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.2916,25.88,2.1663854582418983e-06,True,25.93867645,5.73e-17
Agelenopsis pennsylvanica,DD,Ag77F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.3892,24.014,1.4998904083412717e-06,True,23.94317561,1.08e-47
Agelenopsis pennsylvanica,DD,Ag75F,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.5517,16.97,0.00046478243933879414,True,16.94933086,8.210000000000001e-35
Agelenopsis pennsylvanica,DD,Ag1M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.4178,14.421,2.5326141231663556e-11,True,19.12736796,2.4e-17
Agelenopsis pennsylvanica,DD,Ag3M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.5958,25.17,8.804794618989194e-23,True,25.17568654,2.0199999999999998e-140
Agelenopsis pennsylvanica,DD,Ag5M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.6288,18.599,2.198851160470801e-05,True,18.60755839,1.22e-46
Agelenopsis pennsylvanica,DD,Ag6M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.501,23.015,1.2054433290346158e-09,True,22.97891977,8.51e-61
Agelenopsis pennsylvanica,DD,Ag7M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.6441,26.721,7.820437396701272e-08,True,26.74935905,1.51e-56
Agelenopsis pennsylvanica,DD,Ag10M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.4045,26.668,2.3557463885068418e-08,True,26.74935905,5.599999999999999e-42
Agelenopsis pennsylvanica,DD,Ag13M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.5791,32.267,0.0043685370536089485,True,32.0,1.01e-17
Agelenopsis pennsylvanica,DD,Ag24M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.574,23.83,1.5813127777088853e-16,True,23.77688551,2.5500000000000003e-79
Agelenopsis pennsylvanica,DD,Ag26M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.3832,17.075,0.00031417574143785776,True,17.03366244,2.33e-11
Agelenopsis pennsylvanica,DD,Ag28M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.8433,16.392,0.0017570301060415546,True,16.38160748,5.22e-71
Agelenopsis pennsylvanica,DD,Ag29M,Ag 0825-0906 2025 Monitor1_DD,4.75,4,0,0.3601,22.227,7.375182143844862e-12,True,22.23277524,4.76e-58
Agelenopsis pennsylvanica,LD,Ag4F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.8357,26.826,0.015232655008249461,True,,
Agelenopsis pennsylvanica,LD,Ag8F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.8036,15.025,0.00017210638467176506,True,23.72689109,5.09e-56
Agelenopsis pennsylvanica,LD,Ag17F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.3232,23.935,4.289982418723045e-20,True,23.96991278,8.57e-50
Agelenopsis pennsylvanica,LD,Ag27F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.3251,24.986,1.152816641529158e-06,True,24.99390905,2.44e-17
Agelenopsis pennsylvanica,LD,Ag33F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.4447,24.277,6.768740655307936e-20,True,24.34392523,1.3399999999999999e-89
Agelenopsis pennsylvanica,LD,Ag46F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.2167,23.698,1.4174279035515489e-09,True,23.72689109,3.74e-10
Agelenopsis pennsylvanica,LD,Ag60F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.2005,24.093,6.162131517121344e-23,True,24.09330009,4.9699999999999995e-23
Agelenopsis pennsylvanica,LD,Ag62F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.2237,23.83,1.5066817505554117e-19,True,23.84778282,3e-24
Agelenopsis pennsylvanica,LD,Ag69F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.2548,23.33,1.904633464636979e-14,True,23.37145978,4.0399999999999996e-38
Agelenopsis pennsylvanica,LD,Ag72F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.2537,20.544,0.0004455633152510262,True,20.59484359,1.71e-07
Agelenopsis pennsylvanica,LD,Ag77F,Ag 0825-0906 2025 Monitor1_LD,6.5,6,0,0.1981,14.841,6.08165113418869e-07,True,17.19093257,1.1e-10
